Group,Experiment,Problem Space,*ratio Mean,gr(MB/s) Mean,gr(ms) Mean,no(MB/s) Mean,no(ms) Mean,str(M/s) Mean,str(us) Mean,
testGraph,addGraph,16,1.08064,3.46452,18.473,3.20609,19.9626,0.174158,37,
testGraph,addGraph,64,1.08454,13.8416,18.495,12.7627,20.0586,0.241176,16.6,
testGraph,addGraph,256,1.09112,54.1339,18.9162,49.6134,20.6396,0.244118,16.4,
testGraph,addGraph,1024,1.11942,208.478,19.6476,186.238,21.9934,0.209615,21.2,
testGraph,addGraph,4096,1.22571,691.262,23.7016,563.97,29.0512,0.25,16,
testGraph,addGraph,16384,1.08371,1513.12,43.312,1396.26,46.9372,0.225714,17.8,
testGraph,addGraph,65536,1.14731,2511.13,104.393,2188.72,119.771,0.177343,28.2,
testGraph,typicalGraph,16,1.52,2.52058,25,1.66567,38,0.228293,46.6,
testGraph,typicalGraph,64,1.536,10.0815,25,6.59163,38.4,0.263111,31.4,
testGraph,typicalGraph,256,1.53169,39.5707,25.2,26.0549,38.6,0.287831,27.8,
testGraph,typicalGraph,1024,1.51852,151.106,27,98.089,41,0.265927,31,
testGraph,typicalGraph,4096,1.67742,518.073,31,313.366,52,0.27283,29.4,
testGraph,typicalGraph,16384,1.54783,1418.65,46,910.005,71.2,0.27069,29.6,
testGraph,typicalGraph,65536,1.14379,1705.59,153,1491.46,175,0.226135,40.4,
testGraph,complexGraph,16,0.794474,0.383064,166.4,0.482024,132.2,0.337467,92.2,
testGraph,complexGraph,64,0.795924,1.5335,166.6,1.9226,132.6,0.369977,81.2,
testGraph,complexGraph,256,0.804534,6.07747,167.8,7.56098,135,0.349832,86.8,
testGraph,complexGraph,1024,0.812006,23.5342,173.4,28.9865,140.8,0.366093,82.6,
testGraph,complexGraph,4096,0.876189,86.5153,189,98.6664,165.6,0.350756,85.6,
testGraph,complexGraph,16384,0.953848,232.722,281.2,243.901,268.2,0.36195,83,
testGraph,complexGraph,65536,0.721691,302.047,867.6,418.484,626,0.345266,87,
testGraph,pureDeviceGraph,16,4.1697,1.91303,33,0.463372,137.6,0.145923,340.6,
testGraph,pureDeviceGraph,64,4.08485,7.64642,33,1.89558,134.8,0.118761,356.6,
testGraph,pureDeviceGraph,256,4.1615,30.0914,33.6,7.31147,139.8,0.128223,343.6,
testGraph,pureDeviceGraph,1024,4.25714,116.685,35,27.3706,149,0.190053,279.6,
testGraph,pureDeviceGraph,4096,3.9,401.302,40,104.564,156,0.126636,365.8,
testGraph,pureDeviceGraph,16384,2.87734,975.319,66.8,339.913,192.2,0.108472,413.4,
testGraph,pureDeviceGraph,65536,2.4125,2717.7,96,1129.43,231.6,0.122691,383.8,
