Group,Experiment,Problem Space,*gr(MB/s) Mean,gr(us) Mean,kernelCount Mean,
kernelLaunch,kernelLaunch,64,0.105369,2430.2,1024,
kernelLaunch,kernelLaunch,256,0.41617,2460.6,1024,
kernelLaunch,kernelLaunch,1024,1.48838,2752,1024,
kernelLaunch,kernelLaunch,4096,6.03734,2713.8,1024,
kernelLaunch,kernelLaunch,16384,24.5768,2666.6,1024,
graphLaunch,graphLaunch,64,0.199222,1285,1024,
graphLaunch,graphLaunch,256,0.780726,1311.6,1024,
graphLaunch,graphLaunch,1024,3.04083,1347,1024,
graphLaunch,graphLaunch,4096,11.4879,1426.2,1024,
graphLaunch,graphLaunch,16384,44.0726,1487,1024,
graphLaunch,graphApiLaunch,64,0.202564,1263.8,1024,
graphLaunch,graphApiLaunch,256,0.79343,1290.6,1024,
graphLaunch,graphApiLaunch,1024,3.08899,1326,1024,
graphLaunch,graphApiLaunch,4096,11.6729,1403.6,1024,
graphLaunch,graphApiLaunch,16384,44.765,1464,1024,
graphLaunch,emptyKernelGraphLaunch,64,0.301603,848.8,1024,
graphLaunch,emptyKernelGraphLaunch,256,1.20669,848.6,1024,
graphLaunch,emptyKernelGraphLaunch,1024,4.6095,888.6,1024,
graphLaunch,emptyKernelGraphLaunch,4096,18.1079,904.8,1024,
graphLaunch,emptyKernelGraphLaunch,16384,67.9976,963.8,1024,
graphLaunch,graphAndKernel,64,0.0984126,2601.8,1024,
graphLaunch,graphAndKernel,256,0.384574,2662.8,1024,
graphLaunch,graphAndKernel,1024,1.50491,2721.8,1024,
graphLaunch,graphAndKernel,4096,5.89951,2777.2,1024,
graphLaunch,graphAndKernel,16384,22.9984,2849.6,1024,
graphLaunch,graphAfterKernel,64,0.135393,1892.2,1024,
graphLaunch,graphAfterKernel,256,0.539176,1899.2,1024,
graphLaunch,graphAfterKernel,1024,2.05568,1994.4,1024,
graphLaunch,graphAfterKernel,4096,8.20772,1997.2,1024,
graphLaunch,graphAfterKernel,16384,31.7314,2065.4,1024,
graphLaunch,graphBeforeKernel,64,0.135983,1882.6,1024,
graphLaunch,graphBeforeKernel,256,0.539574,1897.8,1024,
graphLaunch,graphBeforeKernel,1024,2.08472,1966.4,1024,
graphLaunch,graphBeforeKernel,4096,8.12562,2017.4,1024,
graphLaunch,graphBeforeKernel,16384,31.7929,2061.4,1024,
