Group,Experiment,Problem Space,*TP(s^-1) Mean,tAll(ms) Mean,tAll(ms) Min,tAll(ms) Max,
launchGraph,nodes1024,1,1128.74,0.885956,0.880679,0.888928,
launchGraph,nodes1024,2,1311.67,0.7624,0.7577,0.765154,
launchGraph,nodes1024,4,58.865,16.9881,16.9619,17.039,
launchGraph,nodes1024,8,240.539,4.15767,4.11942,4.209,
launchGraph,nodes1024,16,834.672,1.1981,1.19441,1.20515,
launchGraph,nodes1024,32,1647.92,0.60683,0.605491,0.609493,
launchGraph,nodes1024,64,1823.99,0.548249,0.547987,0.548738,
launchGraph,nodes1024,128,1430.57,0.699021,0.698817,0.699341,
launchGraph,nodes1024,256,2066.22,0.483975,0.483607,0.484279,
launchGraph,nodes1024,512,1873,0.533903,0.533796,0.534083,
launchGraph,nodes1024,1024,1137.83,0.878864,0.877698,0.880353,
