Group,Experiment,Problem Space,err Mean,*D2AH Mean,*AH2D Mean,
musaCopy,copyRateAligned,4,0,0.608556,0.682319,
musaCopy,copyRateAligned,8,0,1.19758,1.35424,
musaCopy,copyRateAligned,16,0,2.35573,2.68006,
musaCopy,copyRateAligned,32,0,4.71784,5.35222,
musaCopy,copyRateAligned,64,0,9.35566,10.5869,
musaCopy,copyRateAligned,128,0,18.6563,21.2832,
musaCopy,copyRateAligned,256,0,37.6431,41.7559,
musaCopy,copyRateAligned,512,0,74.4888,83.4372,
musaCopy,copyRateAligned,1024,0,148.26,164.367,
musaCopy,copyRateAligned,2048,0,288.648,326.319,
musaCopy,copyRateAligned,4096,0,527.449,621.137,
musaCopy,copyRateAligned,8192,0,1043.32,1043.37,
musaCopy,copyRateAligned,16384,0,1841.5,1654.66,
musaCopy,copyRateAligned,32768,0,2960.4,2439.01,
musaCopy,copyRateAligned,65536,0,4334.73,3122.47,
musaCopy,copyRateAligned,131072,0,5611.99,7216.84,
musaCopy,copyRateAligned,262144,0,6676.75,8946.12,
musaCopy,copyRateAligned,524288,0,7645.23,8714.31,
musaCopy,copyRateAligned,1048576,0,9490.37,8325.18,
musaCopy,copyRateAligned,2097152,0,12978.2,11546,
musaCopy,copyRateAligned,4194304,0,14357.3,13665.7,
musaCopy,copyRateAligned,8388608,0,16195.1,14725.8,
musaCopy,copyRateAligned,16777216,0,17599.9,14022.9,
musaCopy,copyRateAligned,33554432,0,17041.1,11984,
musaCopy,copyRateAligned,67108864,0,17841.5,11560.8,
musaCopy,copyRateAligned,134217728,0,18103.4,11386.3,
musaCopy,copyRateAligned,268435456,0,18287.9,11364.6,
musaCopy,copyRateAligned,536870912,0,18398.7,11377.7,
musaCopy,copyRateAligned,1073741824,0,17078,11383.2,
musaCopy,copyRateAligned,2147483648,0,18485.4,11466.9,
musaCopy,copyRateAligned,4294967296,0,18508.5,11153.5,
