Group,Experiment,Problem Space,*D2D Mean,*D2H Mean,err Mean,*H2D Mean,
musaCopy,copyRateUnAligned,4,0.779502,0.572201,0,0.412986,
musaCopy,copyRateUnAligned,8,1.84201,1.18145,0,1.00947,
musaCopy,copyRateUnAligned,16,3.77116,2.3234,0,2.05357,
musaCopy,copyRateUnAligned,32,7.7046,4.66759,0,4.17183,
musaCopy,copyRateUnAligned,64,15.5337,9.23328,0,8.41163,
musaCopy,copyRateUnAligned,128,29.9265,18.6871,0,16.213,
musaCopy,copyRateUnAligned,256,61.9551,36.951,0,33.7683,
musaCopy,copyRateUnAligned,512,123.776,74.1407,0,66.7493,
musaCopy,copyRateUnAligned,1024,241.795,145.551,0,131.331,
musaCopy,copyRateUnAligned,2048,472.146,281.161,0,257.908,
musaCopy,copyRateUnAligned,4096,912.215,533.795,0,496.479,
musaCopy,copyRateUnAligned,8192,1835.82,955.528,0,880.93,
musaCopy,copyRateUnAligned,16384,3676.26,1626.97,0,1301.3,
musaCopy,copyRateUnAligned,32768,6972.9,2335.59,0,2021.06,
musaCopy,copyRateUnAligned,65536,13737.7,3160.1,0,2875.96,
musaCopy,copyRateUnAligned,131072,25625,3965.27,0,5617.35,
musaCopy,copyRateUnAligned,262144,48048,5180.2,0,6632.77,
musaCopy,copyRateUnAligned,524288,89335.5,5841.98,0,7209.05,
musaCopy,copyRateUnAligned,1048576,153173,6113.93,0,7949.81,
musaCopy,copyRateUnAligned,2097152,297043,7321.74,0,10830.2,
musaCopy,copyRateUnAligned,4194304,521147,7336.53,0,12177.8,
musaCopy,copyRateUnAligned,8388608,759369,8355.18,0,12482.4,
musaCopy,copyRateUnAligned,16777216,975365,10085.8,0,11181,
musaCopy,copyRateUnAligned,33554432,1.07386e+06,13022.2,0,10938.5,
musaCopy,copyRateUnAligned,67108864,1.29505e+06,13364.5,0,11065.8,
musaCopy,copyRateUnAligned,134217728,1.38897e+06,11091.3,0,10555.2,
musaCopy,copyRateUnAligned,268435456,1.50434e+06,14064.4,0,9064.28,
musaCopy,copyRateUnAligned,536870912,1.49147e+06,14102.3,0,8397.93,
musaCopy,copyRateUnAligned,1073741824,1.52466e+06,13987.3,0,9506.62,
musaCopy,copyRateUnAligned,2147483648,1.53471e+06,14134.9,0,8739.51,
musaCopy,copyRateUnAligned,4294967296,1.53519e+06,14159.4,0,9877.94,
