Group,Experiment,Problem Space,*H2D Mean,*D2H Mean,*D2D Mean,
musaCopy,copyRate2D,64,4.50089,8.76726,11.7317,
musaCopy,copyRate2D,128,11.4217,18.8767,27.6582,
musaCopy,copyRate2D,256,24.0908,35.9146,54.686,
musaCopy,copyRate2D,512,48.444,72.9787,111.356,
musaCopy,copyRate2D,1024,95.398,145.983,228.629,
musaCopy,copyRate2D,2048,195.057,275.544,453.257,
musaCopy,copyRate2D,4096,377.664,508.873,885.877,
musaCopy,copyRate2D,8192,722.831,1010.6,1799.88,
musaCopy,copyRate2D,16384,1385.18,1684.97,3496.48,
musaCopy,copyRate2D,32768,2440.88,2633.94,6703.84,
musaCopy,copyRate2D,65536,3947.86,3648.65,13390.5,
musaCopy,copyRate2D,131072,5689.37,4659.32,25468.9,
musaCopy,copyRate2D,262144,7279.77,5406.11,50109.8,
musaCopy,copyRate2D,524288,7996.42,7186.22,91105.4,
musaCopy,copyRate2D,1048576,8578.99,7398.22,167849,
musaCopy,copyRate2D,2097152,12913.1,5122.9,288098,
musaCopy,copyRate2D,4194304,13084.1,8970.32,466175,
musaCopy,copyRate2D,8388608,13965.9,9424.6,683770,
musaCopy,copyRate2D,16777216,11932.6,10152.7,805162,
musaCopy,copyRate2D,33554432,11407,10935.5,980034,
musaCopy,copyRate2D,67108864,11476.1,11069,1.13374e+06,
musaCopy,copyRate2D,134217728,8802.43,11116.8,1.20951e+06,
musaCopy,copyRate2D,268435456,11213.8,11134.7,1.52325e+06,
musaCopy,copyRate2D,536870912,11218.7,11008.4,1.53396e+06,
musaCopy,copyRate2D,1073741824,8790.55,11159.4,1.51818e+06,
musaCopy,copyRate2D,2147483648,9901.3,11122.2,1.51224e+06,
musaCopy,copyRate2D,4294967296,9842.86,11165.4,1.50956e+06,
