Group,Experiment,Problem Space,*T2S Mean,*S2T Mean,*T2T Mean,*T2H Mean,*H2T Mean,
musaCopy,3DArray,64,8.69623,8.43429,15.8317,8.92724,7.3243,
musaCopy,3DArray,128,17.6157,16.8525,32.0233,18.104,16.0259,
musaCopy,3DArray,256,34.8347,34.9521,66.0737,36.3658,33.316,
musaCopy,3DArray,512,71.5546,70.0066,131.144,71.5374,68.3358,
musaCopy,3DArray,1024,140.009,136.151,256.728,144.632,136.806,
musaCopy,3DArray,2048,271.066,274.257,518.361,278.288,272.561,
musaCopy,3DArray,4096,536.644,542.642,1004.06,550.294,530.918,
musaCopy,3DArray,8192,1097.35,1068.47,2044.24,1034.44,1042.06,
musaCopy,3DArray,16384,2168.42,2164.65,4067.99,1875.09,1906.21,
musaCopy,3DArray,32768,4327.04,4284.42,8169.73,3009.49,3280.37,
musaCopy,3DArray,65536,8447.94,8255.33,15548.1,4280.81,5128.76,
musaCopy,3DArray,131072,16813,16455.3,30367.9,3737.4,7189.59,
musaCopy,3DArray,262144,32458.7,32722.4,60479,9053.28,8928.46,
musaCopy,3DArray,524288,59769.1,60436.1,113979,9855.61,9915.99,
musaCopy,3DArray,1048576,109881,110260,198576,10300.5,10468.4,
