Group,Experiment,Problem Space,*H2D Mean,*D2H Mean,
musaCopy,copyPinnedRate,4,0.423828,0.490946,
musaCopy,copyPinnedRate,8,0.980514,1.05682,
musaCopy,copyPinnedRate,16,1.98509,2.11997,
musaCopy,copyPinnedRate,32,3.99385,4.26499,
musaCopy,copyPinnedRate,64,8.01157,8.51029,
musaCopy,copyPinnedRate,128,15.9036,17.1369,
musaCopy,copyPinnedRate,256,32.3526,33.7414,
musaCopy,copyPinnedRate,512,63.4671,67.3241,
musaCopy,copyPinnedRate,1024,125.93,137.107,
musaCopy,copyPinnedRate,2048,238.978,268.802,
musaCopy,copyPinnedRate,4096,466.835,538.609,
musaCopy,copyPinnedRate,8192,833.338,1052.39,
musaCopy,copyPinnedRate,16384,1410.51,2058.94,
musaCopy,copyPinnedRate,32768,2756.11,4231.08,
musaCopy,copyPinnedRate,65536,4957.4,7210.38,
musaCopy,copyPinnedRate,131072,8335.04,11253.4,
musaCopy,copyPinnedRate,262144,12438,15966.9,
musaCopy,copyPinnedRate,524288,16625.3,19678,
musaCopy,copyPinnedRate,1048576,20100.4,22491.7,
musaCopy,copyPinnedRate,2097152,22425.6,24266.2,
musaCopy,copyPinnedRate,4194304,23755.4,25263.3,
musaCopy,copyPinnedRate,8388608,24451.4,25762.5,
musaCopy,copyPinnedRate,16777216,24833.4,26049.6,
musaCopy,copyPinnedRate,33554432,24991.6,26177.2,
musaCopy,copyPinnedRate,67108864,25155,26263.8,
musaCopy,copyPinnedRate,134217728,25243.2,26301.6,
musaCopy,copyPinnedRate,268435456,25276.1,26320.5,
musaCopy,copyPinnedRate,536870912,25304.5,26332.5,
musaCopy,copyPinnedRate,1073741824,25314,26337.6,
musaCopy,copyPinnedRate,2147483648,25319.6,26340.7,
musaCopy,copyPinnedRate,4294967296,25323.1,26342.3,
