Group,Experiment,Problem Space,*D2H Mean,*H2D Mean,
musaCopy,copyRegisterRate,4,0.500312,0.440843,
musaCopy,copyRegisterRate,8,1.06796,0.982472,
musaCopy,copyRegisterRate,16,2.14955,1.98501,
musaCopy,copyRegisterRate,32,4.29306,4.00194,
musaCopy,copyRegisterRate,64,8.592,8.01683,
musaCopy,copyRegisterRate,128,17.2113,15.6616,
musaCopy,copyRegisterRate,256,33.7876,31.5527,
musaCopy,copyRegisterRate,512,69.5063,62.9353,
musaCopy,copyRegisterRate,1024,137.919,125.688,
musaCopy,copyRegisterRate,2048,274.109,237.108,
musaCopy,copyRegisterRate,4096,543.856,467.911,
musaCopy,copyRegisterRate,8192,1070.84,866.609,
musaCopy,copyRegisterRate,16384,2043.03,1460.2,
musaCopy,copyRegisterRate,32768,4217.73,2911.83,
musaCopy,copyRegisterRate,65536,7262.73,5094.93,
musaCopy,copyRegisterRate,131072,11033.2,8356.17,
musaCopy,copyRegisterRate,262144,15833.5,12309.8,
musaCopy,copyRegisterRate,524288,19448,16582.2,
musaCopy,copyRegisterRate,1048576,22254.6,20041.7,
musaCopy,copyRegisterRate,2097152,24156,22264.1,
musaCopy,copyRegisterRate,4194304,25173.3,23634.5,
musaCopy,copyRegisterRate,8388608,25694.2,24318.7,
musaCopy,copyRegisterRate,16777216,25950.1,24639.6,
musaCopy,copyRegisterRate,33554432,26117.2,24851.9,
musaCopy,copyRegisterRate,67108864,26196.5,25015.7,
musaCopy,copyRegisterRate,134217728,26235.5,25095.8,
musaCopy,copyRegisterRate,268435456,26254.4,25133.7,
musaCopy,copyRegisterRate,536870912,26266.5,25156.4,
musaCopy,copyRegisterRate,1073741824,26272.6,25168,
musaCopy,copyRegisterRate,2147483648,26275.7,25173.5,
