Group,Experiment,Problem Space,*BW(MB/s) Mean,*BR(MB/s) Mean,
hostRW,malloc,1,20.915,33.6301,
hostRW,malloc,8,234.695,286.78,
hostRW,malloc,64,2270.15,2339.12,
hostRW,malloc,512,8177.45,9702.72,
hostRW,malloc,4096,31386.3,58864.1,
hostRW,malloc,32768,25921.1,28178.7,
hostRW,malloc,262144,3223.31,4142.26,
hostRW,malloc,2097152,2091.83,2037.17,
hostRW,malloc,16777216,2078.33,1919.95,
hostRW,malloc,134217728,1829.53,1694.42,
hostRW,malloc,1073741824,1820.23,1680.21,
hostRW,cudaMallocHost,1,5.68968,28.0022,
hostRW,cudaMallocHost,8,48.5041,291.954,
hostRW,cudaMallocHost,64,499.097,2428.17,
hostRW,cudaMallocHost,512,3430.33,15515.2,
hostRW,cudaMallocHost,4096,11634.9,60346.7,
hostRW,cudaMallocHost,32768,9790.44,48094.5,
hostRW,cudaMallocHost,262144,10822.7,46511.7,
hostRW,cudaMallocHost,2097152,12186.1,9405.69,
hostRW,cudaMallocHost,16777216,11058.8,10725,
hostRW,cudaMallocHost,134217728,2254.52,6074.94,
hostRW,cudaMallocHost,1073741824,2294.85,6138.88,
hostRW,cudaMallocManaged,1,0.00637925,3.3428,
hostRW,cudaMallocManaged,8,0.0930616,29.1061,
hostRW,cudaMallocManaged,64,0.73483,231.232,
hostRW,cudaMallocManaged,512,5.86487,1929.48,
hostRW,cudaMallocManaged,4096,47.4124,11549.6,
hostRW,cudaMallocManaged,32768,363.053,13439.9,
hostRW,cudaMallocManaged,262144,2073.68,13385.7,
hostRW,cudaMallocManaged,2097152,4703.72,5773.35,
hostRW,cudaMallocManaged,16777216,4388.85,5893.99,
hostRW,cudaMallocManaged,134217728,1733.24,3940.08,
hostRW,cudaMallocManaged,1073741824,1751.54,4087.44,
hostRW,cudaHostRegister,1,12.1098,38.1943,
hostRW,cudaHostRegister,8,119.208,245.141,
hostRW,cudaHostRegister,64,882.233,2019.05,
hostRW,cudaHostRegister,512,4961.74,13887.2,
hostRW,cudaHostRegister,4096,24681.2,70169.9,
hostRW,cudaHostRegister,32768,27764.6,45016.8,
hostRW,cudaHostRegister,262144,17975.8,43357.1,
hostRW,cudaHostRegister,2097152,12378.2,12102.7,
hostRW,cudaHostRegister,16777216,2419.04,11066.8,
hostRW,cudaHostRegister,134217728,2286.18,6056.78,
hostRW,cudaHostRegister,1073741824,2315.6,6142.01,
