Group,Experiment,Problem Space,*RW(MB/s) Mean,*W(MB/s) Mean,*R(MB/s) Mean,
hostRW,cudaMalloc,16,4.74773,2.26731,2.30742,
hostRW,cudaMalloc,128,38.0215,19.611,19.6393,
hostRW,cudaMalloc,1024,307.547,163.309,155.413,
hostRW,cudaMalloc,8192,2328.84,1242.4,1228.93,
hostRW,cudaMalloc,65536,17911.3,9187.44,9212.6,
hostRW,cudaMalloc,524288,138624,73198.1,70539.7,
hostRW,cudaMalloc,4194304,901757,482435,474081,
hostRW,cudaMalloc,33554432,1.98096e+06,1.46817e+06,937262,
hostRW,cudaMalloc,268435456,1.66421e+06,1.82363e+06,1.40494e+06,
hostRW,cudaMalloc,2147483648,1.60113e+06,1.79769e+06,1.4463e+06,
hostRW,cudaMallocHost,16,3.47789,1.81238,1.72024,
hostRW,cudaMallocHost,128,27.5413,14.8187,13.238,
hostRW,cudaMallocHost,1024,225.208,119.531,109.787,
hostRW,cudaMallocHost,8192,1681.19,888.359,827.818,
hostRW,cudaMallocHost,65536,9483.24,5596.66,4776.29,
hostRW,cudaMallocHost,524288,22196.7,18044.8,13650.3,
hostRW,cudaMallocHost,4194304,28511,24914.2,23366.4,
hostRW,cudaMallocHost,33554432,35395.5,26144.7,24930.6,
hostRW,cudaMallocHost,268435456,36475.3,26320.1,25204.2,
hostRW,cudaMallocHost,2147483648,36621.6,26340.5,25219.2,
hostRW,cudaMallocManaged,16,4.6729,0.294318,2.3971,
hostRW,cudaMallocManaged,128,38.1227,2.9282,19.6357,
hostRW,cudaMallocManaged,1024,298.399,19.554,155.855,
hostRW,cudaMallocManaged,8192,2433.14,146.44,1244.75,
hostRW,cudaMallocManaged,65536,17408.4,960.116,9233.43,
hostRW,cudaMallocManaged,524288,140887,3246.16,72131.5,
hostRW,cudaMallocManaged,4194304,906374,8680.95,434547,
hostRW,cudaMallocManaged,33554432,1.99034e+06,8097.11,952380,
hostRW,cudaMallocManaged,268435456,1.69013e+06,7746.78,1.36676e+06,
hostRW,cudaMallocManaged,2147483648,1.64143e+06,13820.6,1.48274e+06,
hostRW,cudaHostRegister,16,3.5806,1.82723,1.76198,
hostRW,cudaHostRegister,128,28.9435,14.523,13.8417,
hostRW,cudaHostRegister,1024,226.045,113.169,110.862,
hostRW,cudaHostRegister,8192,1712.88,903.742,869.606,
hostRW,cudaHostRegister,65536,10412.7,5575.1,5198.32,
hostRW,cudaHostRegister,524288,23067.5,17910.1,16966.8,
hostRW,cudaHostRegister,4194304,27590.8,24458.1,23265.5,
hostRW,cudaHostRegister,33554432,32758.4,25745.2,24853.8,
hostRW,cudaHostRegister,268435456,33636.5,25899.7,25077.3,
hostRW,cudaHostRegister,2147483648,33728.5,25883.5,25103.9,
