Group,Experiment,Problem Space,tunreg Mean,*Bunreg Mean,treg Mean,*Breg Mean,
hostReg,muHostReg,1,0.0349567,0.0286866,0.0703543,0.0142288,
hostReg,muHostReg,2,0.0337483,0.0592778,0.0688747,0.0290605,
hostReg,muHostReg,4,0.033651,0.118867,0.067526,0.0592398,
hostReg,muHostReg,8,0.033709,0.23735,0.0679963,0.117691,
hostReg,muHostReg,16,0.0336783,0.475148,0.0669953,0.23883,
hostReg,muHostReg,32,0.0335613,0.953511,0.0673697,0.475005,
hostReg,muHostReg,64,0.0334597,1.91282,0.067242,0.951932,
hostReg,muHostReg,128,0.033589,3.81088,0.0672403,1.90382,
hostReg,muHostReg,256,0.0335837,7.62378,0.0670343,3.81908,
hostReg,muHostReg,512,0.033597,15.2402,0.0669353,7.64973,
hostReg,muHostReg,1024,0.03354,30.534,0.067039,15.2754,
hostReg,muHostReg,2048,0.0481943,42.5228,0.105616,19.4233,
hostReg,muHostReg,4096,0.0472557,86.678,0.102874,39.8172,
hostReg,muHostReg,8192,0.0603443,135.769,0.138196,59.2832,
hostReg,muHostReg,16384,0.059749,274.337,0.13747,119.185,
hostReg,muHostReg,32768,0.060017,545.983,0.138137,237.219,
hostReg,muHostReg,65536,0.061398,1067.45,0.139293,470.529,
hostReg,muHostReg,131072,0.0624,2100.54,0.141884,923.836,
hostReg,muHostReg,262144,0.066641,3939.33,0.147532,1777.01,
hostReg,muHostReg,524288,0.0691783,7578.85,0.153917,3406.51,
hostReg,muHostReg,1048576,0.0778363,13472,0.167869,6246.63,
hostReg,muHostReg,2097152,0.107662,19489.1,0.224536,9372.59,
hostReg,muHostReg,4194304,0.155099,27045.3,0.304278,13800.1,
hostReg,muHostReg,8388608,0.248069,33822.3,0.463477,18150.9,
hostReg,muHostReg,16777216,0.460656,36463.6,0.871902,19322.9,
hostReg,muHostReg,33554432,0.948097,35411.7,1.72652,19561.6,
hostReg,muHostReg,67108864,1.73039,38790.4,3.41657,19749.4,
hostReg,muHostReg,134217728,3.08394,43521.6,8.32734,16472.4,
hostReg,muHostReg,268435456,6.10831,43945.9,14.1011,19039.8,
hostReg,muHostReg,536870912,13.8573,38746.2,30.3958,18002.9,
hostReg,muHostReg,1073741824,29.0041,37023.4,58.4436,18455.7,
hostReg,muHostReg,2147483648,58.9023,36459.3,111.276,19319.8,
hostReg,muHostReg,4294967296,117.107,36676.2,207.651,20692.5,
