Group,Experiment,Problem Space,t(Open) Mean,*B(Open) Mean,t(Get) Mean,*B(Get) Mean,
ipc,ipcMemory,32,0.09088,0.336042,0.00384,8.69234,
ipc,ipcMemory,64,0.091904,0.664516,0.002816,22.3517,
ipc,ipcMemory,128,0.094464,1.29242,0.003072,39.7364,
ipc,ipcMemory,256,0.09216,2.64958,0.003072,79.4729,
ipc,ipcMemory,512,0.093184,5.24282,0.00256,198.682,
ipc,ipcMemory,1024,0.093696,10.4242,0.00256,397.364,
ipc,ipcMemory,2048,0.092928,21.0232,0.002816,715.256,
ipc,ipcMemory,4096,0.092672,42.1578,0.002816,1430.51,
ipc,ipcMemory,8192,0.091648,85.2579,0.003072,2543.13,
ipc,ipcMemory,16384,0.094464,165.761,0.003072,5086.26,
ipc,ipcMemory,32768,0.093184,335.561,0.002304,13987.2,
ipc,ipcMemory,65536,0.09216,678.457,0.002816,22888.2,
ipc,ipcMemory,131072,0.091904,1360.4,0.002816,45776.4,
ipc,ipcMemory,262144,0.093696,2669.07,0.003072,81380.2,
ipc,ipcMemory,524288,0.091904,5441.6,0.00256,203451,
ipc,ipcMemory,1048576,0.095488,10482.4,0.002816,366211,
ipc,ipcMemory,2097152,0.092672,21584.8,0.00256,813802,
ipc,ipcMemory,4194304,0.092928,43050.3,0.00256,1.6276e+06,
ipc,ipcMemory,8388608,0.092928,86136.8,0.002816,2.92969e+06,
ipc,ipcMemory,16777216,0.09984,160277,0.002816,5.85937e+06,
ipc,ipcMemory,33554432,0.09856,324700,0.002816,1.17187e+07,
ipc,ipcMemory,67108864,0.099584,642720,0.002816,2.34375e+07,
ipc,ipcMemory,134217728,0.100864,1.2692e+06,0.003072,4.16667e+07,
ipc,ipcMemory,268435456,0.102144,2.50744e+06,0.002816,9.375e+07,
ipc,ipcMemory,536870912,0.120064,4.26445e+06,0.003584,1.45833e+08,
ipc,ipcMemory,1073741824,0.141312,7.2481e+06,0.003584,2.91667e+08,
