Group,Experiment,Problem Space,tfree Mean,*Mfree Mean,tmall Mean,*Bmall Mean,
musa_malloc,normal_mem,1,0.069849,0.0143297,0.979625,0.00102096,
musa_malloc,normal_mem,2,0.067793,0.0295041,0.98586,0.00202871,
musa_malloc,normal_mem,4,0.067018,0.0596917,0.987204,0.00405186,
musa_malloc,normal_mem,8,0.0678387,0.117931,0.988091,0.00809645,
musa_malloc,normal_mem,16,0.0680757,0.235046,0.987368,0.0162048,
musa_malloc,normal_mem,32,0.067337,0.475247,0.987935,0.0323909,
musa_malloc,normal_mem,64,0.0676823,0.945606,0.987656,0.0648001,
musa_malloc,normal_mem,128,0.067798,1.88797,0.98615,0.129799,
musa_malloc,normal_mem,256,0.067895,3.77071,0.987805,0.259161,
musa_malloc,normal_mem,512,0.0678323,7.5484,0.987098,0.518694,
musa_malloc,normal_mem,1024,0.0680407,15.0502,0.986954,1.03754,
musa_malloc,normal_mem,2048,0.067982,30.1273,0.98805,2.07278,
musa_malloc,normal_mem,4096,0.067583,60.613,0.987112,4.14949,
musa_malloc,normal_mem,8192,0.0676967,121.016,0.986422,8.30483,
musa_malloc,normal_mem,16384,0.0675123,242.694,0.986954,16.6006,
musa_malloc,normal_mem,32768,0.068102,481.185,0.826673,43.7721,
musa_malloc,normal_mem,65536,0.0674213,972.13,0.98857,66.2942,
musa_malloc,normal_mem,131072,0.0677287,1935.27,0.987705,132.704,
musa_malloc,normal_mem,262144,0.067319,3894.66,0.986389,265.763,
musa_malloc,normal_mem,524288,0.0676253,7752.92,0.987838,530.745,
musa_malloc,normal_mem,1048576,0.0678123,15463.4,0.989327,1059.89,
musa_malloc,normal_mem,2097152,0.0679893,30846.8,0.9878,2123.06,
musa_malloc,normal_mem,4194304,0.0688937,60884.5,0.987585,4247.04,
musa_malloc,normal_mem,8388608,0.0698597,120085,0.988806,8483.64,
musa_malloc,normal_mem,16777216,0.0751303,223380,0.98786,16983.4,
musa_malloc,normal_mem,33554432,0.0784743,427607,0.986686,34007.3,
musa_malloc,normal_mem,67108864,0.0882643,760447,0.987312,67971.7,
musa_malloc,normal_mem,134217728,0.10811,1.24159e+06,0.988,135848,
musa_malloc,normal_mem,268435456,0.145289,1.84763e+06,0.988119,271664,
musa_malloc,normal_mem,536870912,0.583111,920826,1.68711,420672,
musa_malloc,normal_mem,1073741824,0.746659,1.43812e+06,0.988921,1.08578e+06,
musa_malloc,normal_mem,2147483648,1.11448,1.92836e+06,0.996724,2.15454e+06,
musa_malloc,normal_mem,4294967296,1.8141,2.37024e+06,1.0102,4.25166e+06,
musa_malloc,pinned_mem,1,0.220196,0.00454677,0.838845,0.0011922,
musa_malloc,pinned_mem,2,0.21264,0.00940582,0.843426,0.00237128,
musa_malloc,pinned_mem,4,0.213899,0.0187007,0.842356,0.00474863,
musa_malloc,pinned_mem,8,0.212237,0.0376944,0.842348,0.0094973,
musa_malloc,pinned_mem,16,0.211471,0.0756611,0.844064,0.018956,
musa_malloc,pinned_mem,32,0.211484,0.151313,0.845505,0.0378473,
musa_malloc,pinned_mem,64,0.214842,0.297905,0.843537,0.0758712,
musa_malloc,pinned_mem,128,0.213144,0.600537,0.843942,0.151669,
musa_malloc,pinned_mem,256,0.211924,1.20803,0.844123,0.303274,
musa_malloc,pinned_mem,512,0.212757,2.40657,0.841572,0.608387,
musa_malloc,pinned_mem,1024,0.211305,4.8464,0.845631,1.21093,
musa_malloc,pinned_mem,2048,0.212425,9.64137,0.844095,2.42627,
musa_malloc,pinned_mem,4096,0.215001,19.0546,0.842823,4.85988,
musa_malloc,pinned_mem,8192,0.212596,38.5333,0.845461,9.6894,
musa_malloc,pinned_mem,16384,0.212133,77.2384,0.843176,19.4314,
musa_malloc,pinned_mem,32768,0.21003,156.019,0.843679,38.8396,
musa_malloc,pinned_mem,65536,0.211411,310.004,0.843905,77.6586,
musa_malloc,pinned_mem,131072,0.21236,617.218,0.843336,155.421,
musa_malloc,pinned_mem,262144,0.215671,1215.85,0.847516,309.331,
musa_malloc,pinned_mem,524288,0.210581,2489.84,0.843475,621.583,
musa_malloc,pinned_mem,1048576,0.212329,4938.51,0.846594,1238.59,
musa_malloc,pinned_mem,2097152,0.211524,9914.53,0.835675,2510.05,
musa_malloc,pinned_mem,4194304,0.380402,11026.1,1.8954,2212.88,
musa_malloc,pinned_mem,8388608,0.712609,11771.9,2.25443,3882.93,
musa_malloc,pinned_mem,16777216,1.38055,12152.9,4.01469,4178.96,
musa_malloc,pinned_mem,33554432,2.88316,11638.7,8.59162,3917.97,
musa_malloc,pinned_mem,67108864,5.90279,11370.3,17.7443,3781.99,
musa_malloc,pinned_mem,134217728,11.7182,11453.9,35.6952,3760.11,
musa_malloc,pinned_mem,268435456,23.2077,11566.7,71.5984,3749.18,
musa_malloc,pinned_mem,536870912,46.0477,11659.5,142.006,3780.64,
musa_malloc,pinned_mem,1073741824,91.2771,11763.7,285.071,3766.69,
musa_malloc,pinned_mem,2147483648,186.776,11497.7,569.181,3772.94,
musa_malloc,pinned_mem,4294967296,378.602,11344.6,1140.2,3766.87,
