Group,Experiment,Problem Space,*D3D8 Mean,*D2D8 Mean,*D1D8 Mean,
memSet,setVal,1,0.144411,70.0916,0.113765,
memSet,setVal,2,0.292944,73.3182,0.269786,
memSet,setVal,4,0.589953,72.8433,0.565054,
memSet,setVal,8,1.20408,75.1486,1.1366,
memSet,setVal,16,2.3385,741.61,2.23201,
memSet,setVal,32,4.55896,865.253,4.38366,
memSet,setVal,64,9.44814,860.456,8.99806,
memSet,setVal,128,14.8799,892.615,15.3398,
memSet,setVal,256,30.5675,867.756,34.7933,
memSet,setVal,512,57.685,904.44,70.0206,
memSet,setVal,1024,111.217,906.168,139.588,
memSet,setVal,2048,225.253,916.1,269.753,
memSet,setVal,4096,456.283,900.973,517.249,
memSet,setVal,8192,924.686,957.861,887.632,
memSet,setVal,16384,1805.79,1923.77,1750.22,
memSet,setVal,32768,3649.29,3829.03,3471.77,
memSet,setVal,65536,7204.93,7405.54,7000.71,
memSet,setVal,131072,14311.4,15462,13748,
memSet,setVal,262144,28205.4,29823.7,28063.9,
memSet,setVal,524288,56608.9,60274.6,54366,
memSet,setVal,1048576,114220,116299,105827,
memSet,setVal,2097152,219448,222359,206520,
memSet,setVal,4194304,395588,400257,373542,
memSet,setVal,8388608,679448,676394,632687,
memSet,setVal,16777216,1.00071e+06,962004,945418,
memSet,setVal,33554432,1.28093e+06,1.26538e+06,1.22255e+06,
memSet,setVal,67108864,1.48463e+06,1.48717e+06,1.47936e+06,
memSet,setVal,134217728,1.67678e+06,1.6579e+06,1.65076e+06,
memSet,setVal,268435456,1.7782e+06,1.76874e+06,1.76133e+06,
memSet,setVal,536870912,1.81273e+06,1.80408e+06,1.80071e+06,
memSet,setVal,1073741824,1.80865e+06,1.8054e+06,1.80392e+06,
memSet,setVal,2147483648,1.77194e+06,1.75056e+06,1.75757e+06,
memSet,setVal,4294967296,1.74651e+06,1.74665e+06,1.74736e+06,
