Group,Experiment,Problem Space,*TP(s^-1) Mean,tAll(ms) Mean,tAll(ms) Min,tAll(ms) Max,tPer(us) Mean,LaunchCnt Mean,
mulStreams,nullkernelx1,1,115329,0.0091656,0.00734,0.014687,9.1656,1,
mulStreams,nullkernelx1,2,89461.3,0.0120428,0.008302,0.019897,12.0428,1,
mulStreams,nullkernelx1,4,63492.2,0.0325903,0.006946,0.435581,32.5903,1,
mulStreams,nullkernelx1,8,58907.6,0.0276223,0.007391,0.094262,27.6223,1,
mulStreams,nullkernelx1,16,56188.7,0.0238759,0.007219,0.080424,23.8759,1,
mulStreams,nullkernelx1,32,59517,0.022928,0.006903,0.122356,22.928,1,
mulStreams,nullkernelx10,1,448616,0.0222936,0.021646,0.022724,2.22936,10,
mulStreams,nullkernelx10,2,293620,0.034294,0.030422,0.044263,3.4294,10,
mulStreams,nullkernelx10,4,187059,0.0591135,0.023674,0.098613,5.91135,10,
mulStreams,nullkernelx10,8,193550,0.0580577,0.023806,0.163132,5.80577,10,
mulStreams,nullkernelx10,16,192926,0.059827,0.02251,0.159261,5.9827,10,
mulStreams,nullkernelx10,32,192878,0.058346,0.022468,0.13854,5.8346,10,
mulStreams,nullkernelx100,1,580522,0.172347,0.166364,0.186988,1.72347,100,
mulStreams,nullkernelx100,2,307195,0.32556,0.319476,0.332946,3.2556,100,
mulStreams,nullkernelx100,4,305546,0.380162,0.173347,0.529959,3.80162,100,
mulStreams,nullkernelx100,8,301168,0.362826,0.170423,0.540341,3.62826,100,
mulStreams,nullkernelx100,16,288400,0.368446,0.18614,0.840808,3.68446,100,
mulStreams,nullkernelx100,32,289100,0.358428,0.16727,0.602156,3.58428,100,
mulStreams,nullkernelx1000,1,603119,1.65824,1.61586,1.6935,1.65824,1000,
mulStreams,nullkernelx1000,2,306686,3.26073,3.23195,3.2845,3.26073,1000,
mulStreams,nullkernelx1000,4,300889,3.88436,1.6642,5.09571,3.88436,1000,
mulStreams,nullkernelx1000,8,281239,3.80124,1.89585,5.30879,3.80124,1000,
mulStreams,nullkernelx1000,16,304422,3.49556,1.72969,5.19535,3.49556,1000,
mulStreams,nullkernelx1000,32,339280,3.15508,1.67992,8.32484,3.15508,1000,
mulStreams,nullAndRecordx1,1,92489.8,0.0108203,0.010328,0.011612,10.8203,1,
mulStreams,nullAndRecordx1,2,65347,0.0161579,0.011073,0.023539,16.1579,1,
mulStreams,nullAndRecordx1,4,42333.8,0.0351404,0.011105,0.570042,35.1404,1,
mulStreams,nullAndRecordx1,8,38421.6,0.0329053,0.01053,0.093845,32.9053,1,
mulStreams,nullAndRecordx1,16,40301.4,0.0322587,0.010458,0.212716,32.2587,1,
mulStreams,nullAndRecordx1,32,39941,0.0321582,0.010579,0.105249,32.1582,1,
mulStreams,nullAndRecordx10,1,188304,0.0531115,0.052327,0.054959,5.31115,10,
mulStreams,nullAndRecordx10,2,132335,0.0756309,0.06944,0.080089,7.56309,10,
mulStreams,nullAndRecordx10,4,104391,0.108953,0.051779,0.312672,10.8953,10,
mulStreams,nullAndRecordx10,8,104783,0.104456,0.05048,0.197202,10.4456,10,
mulStreams,nullAndRecordx10,16,105782,0.102746,0.051379,0.196599,10.2746,10,
mulStreams,nullAndRecordx10,32,105159,0.103516,0.051328,0.693701,10.3516,10,
mulStreams,nullAndRecordx100,1,216014,0.462952,0.457821,0.467394,4.62952,100,
mulStreams,nullAndRecordx100,2,129745,0.770806,0.754847,0.78473,7.70806,100,
mulStreams,nullAndRecordx100,4,139655,0.79725,0.46034,1.13741,7.9725,100,
mulStreams,nullAndRecordx100,8,127138,0.844175,0.466449,1.40727,8.44175,100,
mulStreams,nullAndRecordx100,16,122778,0.85434,0.464142,1.27452,8.5434,100,
mulStreams,nullAndRecordx100,32,126705,0.80979,0.462524,1.18387,8.0979,100,
mulStreams,nullAndRecordx1000,1,217660,4.59473,4.53152,4.66478,4.59473,1000,
mulStreams,nullAndRecordx1000,2,133184,7.56049,5.73232,7.82218,7.56049,1000,
mulStreams,nullAndRecordx1000,4,90437.2,12.2322,4.55537,15.261,12.2322,1000,
mulStreams,nullAndRecordx1000,8,98969.3,10.7819,4.94964,16.6702,10.7819,1000,
mulStreams,nullAndRecordx1000,16,85204.9,12.1362,5.46006,20.8095,12.1362,1000,
mulStreams,nullAndRecordx1000,32,76854.6,13.4513,6.46166,22.2039,13.4513,1000,
