Group,Experiment,Problem Space,*TP(s^-1) Mean,tAll(ms) Mean,tAll(ms) Min,tAll(ms) Max,tPer(us) Mean,LaunchCnt Mean,
mulStreams,nullkernelx1,1,180278,0.0064512,0.004096,0.012288,6.4512,1,
mulStreams,nullkernelx1,2,164428,0.0065024,0.004096,0.012288,6.5024,1,
mulStreams,nullkernelx1,4,132880,0.0100096,0.004096,0.033792,10.0096,1,
mulStreams,nullkernelx1,8,136249,0.0097088,0.004096,0.033792,9.7088,1,
mulStreams,nullkernelx1,16,127373,0.0112416,0.004096,0.073728,11.2416,1,
mulStreams,nullkernelx1,32,123983,0.0116816,0.004096,0.0768,11.6816,1,
mulStreams,nullkernelx10,1,474436,0.0210944,0.02048,0.022528,2.10944,10,
mulStreams,nullkernelx10,2,302465,0.0332032,0.026624,0.036864,3.32032,10,
mulStreams,nullkernelx10,4,260303,0.0457216,0.02048,0.077824,4.57216,10,
mulStreams,nullkernelx10,8,260404,0.0460736,0.02048,0.17408,4.60736,10,
mulStreams,nullkernelx10,16,269112,0.0434208,0.02048,0.145408,4.34208,10,
mulStreams,nullkernelx10,32,276801,0.0412656,0.019456,0.161792,4.12656,10,
mulStreams,nullkernelx100,1,543815,0.18391,0.1792,0.188416,1.8391,100,
mulStreams,nullkernelx100,2,301968,0.331187,0.323584,0.336896,3.31187,100,
mulStreams,nullkernelx100,4,289267,0.392026,0.180224,0.566272,3.92026,100,
mulStreams,nullkernelx100,8,287796,0.372122,0.18432,0.55808,3.72122,100,
mulStreams,nullkernelx100,16,289795,0.357658,0.182272,0.540672,3.57658,100,
mulStreams,nullkernelx100,32,287368,0.356234,0.2048,0.546816,3.56234,100,
mulStreams,nullkernelx1000,1,547491,1.82676,1.79098,1.8729,1.82676,1000,
mulStreams,nullkernelx1000,2,301067,3.32201,3.26861,3.38227,3.32201,1000,
mulStreams,nullkernelx1000,4,292154,3.93716,1.86266,5.2265,3.93716,1000,
mulStreams,nullkernelx1000,8,309119,3.54344,1.88416,5.17939,3.54344,1000,
mulStreams,nullkernelx1000,16,302176,3.5004,1.77152,5.44358,3.5004,1000,
mulStreams,nullkernelx1000,32,328027,3.29467,1.86573,8.03533,3.29467,1000,
mulStreams,nullAndRecordx1,1,133678,0.0075776,0.007168,0.011264,7.5776,1,
mulStreams,nullAndRecordx1,2,120909,0.0087552,0.007168,0.017408,8.7552,1,
mulStreams,nullAndRecordx1,4,88526.4,0.014464,0.007168,0.039936,14.464,1,
mulStreams,nullAndRecordx1,8,91778.5,0.0135616,0.007168,0.065536,13.5616,1,
mulStreams,nullAndRecordx1,16,90098.2,0.014272,0.007168,0.091136,14.272,1,
mulStreams,nullAndRecordx1,32,89085.3,0.0142752,0.007168,0.096256,14.2752,1,
mulStreams,nullAndRecordx10,1,203061,0.0492544,0.048128,0.0512,4.92544,10,
mulStreams,nullAndRecordx10,2,135854,0.0736512,0.070656,0.0768,7.36512,10,
mulStreams,nullAndRecordx10,4,137712,0.0827776,0.048128,0.26112,8.27776,10,
mulStreams,nullAndRecordx10,8,152506,0.0731904,0.048128,0.244736,7.31904,10,
mulStreams,nullAndRecordx10,16,153844,0.0711712,0.048128,0.198656,7.11712,10,
mulStreams,nullAndRecordx10,32,158584,0.0677504,0.048128,0.217088,6.77504,10,
mulStreams,nullAndRecordx100,1,208609,0.479386,0.472064,0.482304,4.79386,100,
mulStreams,nullAndRecordx100,2,129184,0.774144,0.759808,0.789504,7.74144,100,
mulStreams,nullAndRecordx100,4,143278,0.775258,0.461824,1.1305,7.75258,100,
mulStreams,nullAndRecordx100,8,130242,0.812902,0.461824,1.21344,8.12902,100,
mulStreams,nullAndRecordx100,16,129880,0.801158,0.4608,1.21651,8.01158,100,
mulStreams,nullAndRecordx100,32,134913,0.75643,0.466944,1.12333,7.5643,100,
mulStreams,nullAndRecordx1000,1,216899,4.61112,4.55475,4.68685,4.61112,1000,
mulStreams,nullAndRecordx1000,2,128139,7.80413,7.7783,7.92166,7.80413,1000,
mulStreams,nullAndRecordx1000,4,96998.1,11.581,4.64384,14.8767,11.581,1000,
mulStreams,nullAndRecordx1000,8,98260.2,10.9408,4.64282,17.7398,10.9408,1000,
mulStreams,nullAndRecordx1000,16,85322.1,12.1134,6.19008,18.7197,12.1134,1000,
mulStreams,nullAndRecordx1000,32,79152.8,13.0239,6.38976,21.6515,13.0239,1000,
