Group,Experiment,Problem Space,*t+/t| Mean,t1|2 Mean,t|2 Mean,t|1 Mean,t1+2 Mean,t+2 Mean,t+1 Mean,
Parallelism,DtoD_DtoD,1073741824,1.00187,2.82304,2.76992,2.78323,2.82832,1.39776,1.40186,
Parallelism,DtoD_DtoPH,1073741824,1.03236,40.8911,40.8405,1.4295,42.2145,40.7926,1.39162,
Parallelism,DtoD_PHtoD,1073741824,1.03227,40.9,40.8392,1.42746,42.22,40.8037,1.38547,
Parallelism,DtoD_SET,1073741824,0.996006,2.04873,1.96301,2.00294,2.04054,0.608256,1.4039,
Parallelism,DtoD_CBK,1073741824,0.281543,40.1263,40.0896,1.43565,11.2973,9.83654,1.43053,
Parallelism,DtoD_MBK,1073741824,0.890083,13.6839,13.6509,1.43462,12.1798,10.7203,1.43053,
Parallelism,DtoPH_DtoPH,1073741824,1.00002,81.582,81.5399,40.7849,81.5839,40.7744,40.7785,
Parallelism,DtoPH_PHtoD,1073741824,1.36158,61.127,61.0844,55.0265,83.2295,42.4218,40.7766,
Parallelism,DtoPH_SET,1073741824,1.01397,40.8643,0.642048,40.8327,41.435,0.591872,40.7885,
Parallelism,DtoPH_CBK,1073741824,1.24068,40.8531,9.8601,40.8237,50.6858,9.84269,40.8125,
Parallelism,DtoPH_MBK,1073741824,1.25534,40.8655,10.5062,40.8304,51.3002,10.4653,40.8064,
Parallelism,PHtoD_PHtoD,1073741824,0.999839,84.8857,84.8173,42.4278,84.872,42.4208,42.4211,
Parallelism,PHtoD_SET,1073741824,1.01349,42.455,0.605184,42.4228,43.0276,0.576512,42.4211,
Parallelism,PHtoD_CBK,1073741824,1.23159,42.4601,9.87341,42.4242,52.2934,9.84371,42.4201,
Parallelism,PHtoD_MBK,1073741824,1.2468,42.4616,10.624,42.4279,52.941,10.4909,42.4196,
Parallelism,SET_SET,1073741824,1.01999,1.25332,1.20832,0.616448,1.27836,0.61952,0.62976,
Parallelism,SET_CBK,1073741824,0.265652,39.3255,39.2929,0.601088,10.4469,9.82426,0.590848,
Parallelism,SET_MBK,1073741824,0.881737,12.8966,12.8635,0.596992,11.3714,10.7489,0.592896,
Parallelism,CBK_CBK,1073741824,1.99222,9.88462,9.8519,9.856,19.6923,9.8263,9.83654,
Parallelism,CBK_MBK,1073741824,1.85441,11.1172,11.0858,9.82016,20.6159,10.753,9.8345,
Parallelism,MBK_MBK,1073741824,1.89764,11.3146,11.1995,11.2906,21.4711,10.7121,10.7295,
