Group,Experiment,Problem Space,*DstID:6 Mean,*DstID:5 Mean,*DstID:4 Mean,*DstID:3 Mean,*DstID:2 Mean,*DstID:7 Mean,*DstID:1 Mean,*DstID:0 Mean,
memCopy,DISABLE_P2P_1B,0,0.03609,0.0340367,0.0344569,0.0352079,0.0350243,0.0383652,0.0338388,-1,
memCopy,DISABLE_P2P_1B,1,0.0380636,0.0357546,0.0363373,0.0368267,0.0360602,0.040161,-1,0.0348746,
memCopy,DISABLE_P2P_1B,2,0.0384049,0.0359445,0.0364458,0.0370322,-1,0.039914,0.0356347,0.0355342,
memCopy,DISABLE_P2P_1B,3,0.0382547,0.0358122,0.0363229,-1,0.0370775,0.040105,0.0365335,0.0350675,
memCopy,DISABLE_P2P_1B,4,0.0379856,0.0357942,-1,0.0369673,0.0369618,0.0399801,0.0367181,0.0353517,
memCopy,DISABLE_P2P_1B,5,0.0379837,-1,0.0360866,0.0369119,0.036948,0.0399367,0.0366284,0.0350791,
memCopy,DISABLE_P2P_1B,6,-1,0.0356359,0.0359653,0.0371068,0.0368493,0.0382347,0.0364461,0.0350176,
memCopy,DISABLE_P2P_1B,7,0.0380016,0.0354037,0.0358973,0.0369633,0.0368342,-1,0.0366477,0.035923,
memCopy,DISABLE_P2P_4B,0,0.14399,0.133175,0.132356,0.142725,0.136893,0.150759,0.133219,-1,
memCopy,DISABLE_P2P_4B,1,0.153044,0.14097,0.145808,0.148793,0.143314,0.162191,-1,0.139823,
memCopy,DISABLE_P2P_4B,2,0.153304,0.142424,0.14469,0.148314,-1,0.161749,0.144638,0.141742,
memCopy,DISABLE_P2P_4B,3,0.153234,0.143428,0.145926,-1,0.148228,0.16064,0.146327,0.142903,
memCopy,DISABLE_P2P_4B,4,0.151131,0.143116,-1,0.147234,0.147427,0.160522,0.147202,0.141812,
memCopy,DISABLE_P2P_4B,5,0.153143,-1,0.144644,0.148315,0.14798,0.160205,0.14623,0.141685,
