Group,Experiment,Problem Space,time Mean,*band Mean,
memCopy,P2P_IJK,4,13.28,0.169826,
memCopy,P2P_IJK,8,0.0209713,0.381567,
memCopy,P2P_IJK,16,0.021227,0.754511,
memCopy,P2P_IJK,32,0.0206655,1.54902,
memCopy,P2P_IJK,64,0.0209533,3.05485,
memCopy,P2P_IJK,128,0.0209938,6.0979,
memCopy,P2P_IJK,256,0.0208815,12.2627,
memCopy,P2P_IJK,512,0.0209045,24.4965,
memCopy,P2P_IJK,1024,0.0212065,48.312,
memCopy,P2P_IJK,2048,0.0210358,97.3778,
memCopy,P2P_IJK,4096,0.0211272,193.907,
memCopy,P2P_IJK,8192,0.0215735,379.918,
memCopy,P2P_IJK,16384,0.0215039,761.984,
memCopy,P2P_IJK,32768,0.022289,1470.49,
memCopy,P2P_IJK,65536,0.0240951,2720.19,
memCopy,P2P_IJK,131072,0.0275417,4762.34,
memCopy,P2P_IJK,262144,0.0336377,7793.46,
memCopy,P2P_IJK,524288,0.046759,11217.3,
memCopy,P2P_IJK,1048576,0.0764422,14059.4,
memCopy,P2P_IJK,2097152,0.123191,17024.7,
memCopy,P2P_IJK,4194304,0.224264,18702.6,
memCopy,P2P_IJK,8388608,0.427746,19611.2,
memCopy,P2P_IJK,16777216,0.834446,20105.8,
memCopy,P2P_IJK,33554432,1.64977,20338.9,
memCopy,P2P_IJK,67108864,3.27774,20474.1,
memCopy,P2P_IJK,134217728,6.5315,20549.3,
memCopy,P2P_IJK,268435456,13.041,20583.9,
memCopy,P2P_IJK,536870912,26.0569,20603.8,
memCopy,P2P_IJK,1073741824,52.0837,20615.7,
