Group,Experiment,Problem Space,*TP(s^-1) Mean,tAll(ms) Mean,tAll(ms) Min,tAll(ms) Max,tPer(us) Mean,LaunchCnt Mean,
mulCards,nullkernel,1,441135,0.0507392,0.03584,0.100352,2.53696,20,
mulCards,nullkernel,2,451898,0.0471936,0.037888,0.095232,2.35968,20,
mulCards,nullkernel,3,478249,0.0438613,0.03584,0.10752,2.19307,20,
mulCards,nullkernel,4,489975,0.041664,0.03584,0.09216,2.0832,20,
mulCards,nullkernel,5,478190,0.0432794,0.03584,0.096256,2.16397,20,
mulCards,nullkernel,6,489242,0.0417792,0.03584,0.131072,2.08896,20,
mulCards,nullkernel,7,459237,0.0450523,0.03584,0.094208,2.25262,20,
mulCards,nullkernel,8,475701,0.0429472,0.034816,0.09216,2.14736,20,
mulCards,nullAndRecord,1,211104,0.0947456,0.093184,0.096256,4.73728,20,
mulCards,nullAndRecord,2,209309,0.0956544,0.093184,0.125952,4.78272,20,
mulCards,nullAndRecord,3,210731,0.0949333,0.09216,0.103424,4.74667,20,
mulCards,nullAndRecord,4,209401,0.0956096,0.093184,0.135168,4.78048,20,
mulCards,nullAndRecord,5,208416,0.0959846,0.09216,0.105472,4.79923,20,
mulCards,nullAndRecord,6,207959,0.0962005,0.09216,0.10752,4.81003,20,
mulCards,nullAndRecord,7,204045,0.0984357,0.093184,0.156672,4.92178,20,
mulCards,nullAndRecord,8,204004,0.0983488,0.09216,0.167936,4.91744,20,
