Group,Experiment,Problem Space,*ratio Mean,gr(MB/s) Mean,gr(ms) Mean,no(MB/s) Mean,no(ms) Mean,str(M/s) Mean,str(us) Mean,
testGraph,naiveGraph,16,1.7871,3.66734,17.4764,2.1693,31.4078,0.133648,60.8,
testGraph,naiveGraph,64,1.61833,14.8381,17.281,9.2336,27.8756,0.142287,30.8,
testGraph,naiveGraph,256,1.4266,52.7811,19.4332,37.0321,27.687,0.167685,24.6,
testGraph,naiveGraph,1024,1.29871,188.993,21.6784,145.53,28.1464,0.151636,29.4,
testGraph,naiveGraph,4096,1.22061,620.896,26.3878,508.678,32.209,0.174392,23.2,
testGraph,naiveGraph,16384,1.30625,1654.55,39.6098,1266.64,51.74,0.142972,29.8,
testGraph,naiveGraph,65536,1.2534,3192.79,82.1052,2548.35,102.911,0.0942007,43.4,
testGraph,typicalGraph,16,1.64461,2.21363,28.6,1.35196,47,0.151401,58.4,
testGraph,typicalGraph,64,1.65418,8.8498,28.6,5.37965,47.2,0.183957,43.8,
testGraph,typicalGraph,256,1.67414,35.9899,28.2,21.2856,47.2,0.176588,46.4,
testGraph,typicalGraph,1024,1.71872,141.026,28.4,83.1499,48.8,0.183553,44.6,
testGraph,typicalGraph,4096,1.40238,452.619,35.8,323.583,50.2,0.153738,52.2,
testGraph,typicalGraph,16384,1.40364,1186.37,55,842.421,77.2,0.14187,57.2,
testGraph,typicalGraph,65536,1.36111,2420.14,108,1775.21,147,0.108794,74.6,
testGraph,complexGraph,16,0.847645,0.342092,186.4,0.403071,158,0.19406,155.6,
testGraph,complexGraph,64,0.848453,1.36392,187.4,1.60487,159,0.235494,127.6,
testGraph,complexGraph,256,0.854571,5.4265,188.4,6.34044,161,0.231934,130.8,
testGraph,complexGraph,1024,0.888782,21.646,188.8,24.3134,167.8,0.20565,147,
testGraph,complexGraph,4096,0.954421,79.2308,206.2,83.0069,196.8,0.2108,142.4,
testGraph,complexGraph,16384,1.06101,232.099,282,218.61,299.2,0.176719,170.8,
testGraph,complexGraph,65536,1.18806,537.492,487.4,452.348,579,0.169523,179.8,
testGraph,pureDeviceGraph,16,2.16667,1.74291,36,0.814144,78,0.147315,362.2,
testGraph,pureDeviceGraph,64,2.17778,6.98004,36,3.24327,78.4,0.0996252,637.6,
testGraph,pureDeviceGraph,256,2.11892,27.4011,37,12.9701,78.4,0.145484,267,
testGraph,pureDeviceGraph,1024,2.09474,106.919,38,51.2441,79.6,0.121203,542.2,
testGraph,pureDeviceGraph,4096,2.04286,384.17,42,190.025,85.8,0.12651,384,
testGraph,pureDeviceGraph,16384,1.83394,1127.11,57.8,614.564,106,0.0747264,693.2,
testGraph,pureDeviceGraph,65536,1.56,2746.43,95,1764.86,148.2,0.0836289,511,
