Group,Experiment,Problem Space,err Mean,*D2AH Mean,*AH2D Mean,
musaCopy,copyRateAligned,4,0,0.349292,0.36671,
musaCopy,copyRateAligned,8,0,0.768587,0.731202,
musaCopy,copyRateAligned,16,0,1.36607,1.82255,
musaCopy,copyRateAligned,32,0,3.07069,3.76419,
musaCopy,copyRateAligned,64,0,6.39133,8.56729,
musaCopy,copyRateAligned,128,0,12.6773,17.086,
musaCopy,copyRateAligned,256,0,22.0618,33.034,
musaCopy,copyRateAligned,512,0,50.3177,66.781,
musaCopy,copyRateAligned,1024,0,99.703,131.229,
musaCopy,copyRateAligned,2048,0,195.407,210.841,
musaCopy,copyRateAligned,4096,0,381.88,513.103,
musaCopy,copyRateAligned,8192,0,711.964,897.011,
musaCopy,copyRateAligned,16384,0,1305.48,1418.92,
musaCopy,copyRateAligned,32768,0,2183.18,2135.45,
musaCopy,copyRateAligned,65536,0,3298.15,2807.64,
musaCopy,copyRateAligned,131072,0,4407.47,5976.48,
musaCopy,copyRateAligned,262144,0,5763.6,8027.63,
musaCopy,copyRateAligned,524288,0,6448.34,8912.15,
musaCopy,copyRateAligned,1048576,0,7875.76,7868.98,
musaCopy,copyRateAligned,2097152,0,11064,9887.47,
musaCopy,copyRateAligned,4194304,0,13008.2,9212.1,
musaCopy,copyRateAligned,8388608,0,13772,10676.1,
musaCopy,copyRateAligned,16777216,0,14493,11478.1,
musaCopy,copyRateAligned,33554432,0,14458.4,9104.45,
musaCopy,copyRateAligned,67108864,0,14871.2,12492.4,
musaCopy,copyRateAligned,134217728,0,15055.2,10789.6,
musaCopy,copyRateAligned,268435456,0,15074.7,9423.21,
musaCopy,copyRateAligned,536870912,0,15620.4,9380.85,
musaCopy,copyRateAligned,1073741824,0,15168.5,9303.45,
musaCopy,copyRateAligned,2147483648,0,15260,9282.51,
musaCopy,copyRateAligned,4294967296,0,15105.2,9373.82,
