Group,Experiment,Problem Space,*D2D Mean,*D2H Mean,err Mean,*H2D Mean,
musaCopy,copyRateUnAligned,4,0.616081,0.377319,0,0.418758,
musaCopy,copyRateUnAligned,8,1.53629,0.788376,0,0.982669,
musaCopy,copyRateUnAligned,16,3.1803,1.59399,0,2.16287,
musaCopy,copyRateUnAligned,32,6.93634,3.23896,0,4.41866,
musaCopy,copyRateUnAligned,64,14.0018,6.34458,0,8.91313,
musaCopy,copyRateUnAligned,128,27.3545,12.7551,0,17.4739,
musaCopy,copyRateUnAligned,256,54.9269,25.616,0,35.2587,
musaCopy,copyRateUnAligned,512,111.143,50.713,0,70.4537,
musaCopy,copyRateUnAligned,1024,188.347,98.587,0,132.446,
musaCopy,copyRateUnAligned,2048,433.032,196.804,0,269.155,
musaCopy,copyRateUnAligned,4096,895.203,383.796,0,507.595,
musaCopy,copyRateUnAligned,8192,1729.02,695.127,0,897.948,
musaCopy,copyRateUnAligned,16384,2893.97,1307.84,0,1507.14,
musaCopy,copyRateUnAligned,32768,6843.98,2217.88,0,2171.52,
musaCopy,copyRateUnAligned,65536,12971.8,3369.84,0,2746.13,
musaCopy,copyRateUnAligned,131072,24463,4043,0,5834.77,
musaCopy,copyRateUnAligned,262144,46370,5839.67,0,8086.36,
musaCopy,copyRateUnAligned,524288,78369.2,6878.05,0,9399.01,
musaCopy,copyRateUnAligned,1048576,95803.1,8347.27,0,7975.07,
musaCopy,copyRateUnAligned,2097152,225508,11816.6,0,11043.9,
musaCopy,copyRateUnAligned,4194304,438095,12782.8,0,10603.2,
musaCopy,copyRateUnAligned,8388608,678114,14280,0,10328.7,
musaCopy,copyRateUnAligned,16777216,1.15113e+06,14695.1,0,10661.4,
musaCopy,copyRateUnAligned,33554432,1.51639e+06,14519.4,0,11855.9,
musaCopy,copyRateUnAligned,67108864,1.74648e+06,15080.6,0,12827.3,
musaCopy,copyRateUnAligned,134217728,2.04946e+06,15303.8,0,10935.4,
musaCopy,copyRateUnAligned,268435456,2.2756e+06,15718,0,9540.11,
musaCopy,copyRateUnAligned,536870912,2.40616e+06,15689.2,0,9307.68,
musaCopy,copyRateUnAligned,1073741824,2.52941e+06,15699.5,0,9419.59,
musaCopy,copyRateUnAligned,2147483648,2.57532e+06,15656.8,0,9267.15,
musaCopy,copyRateUnAligned,4294967296,2.6064e+06,15468.6,0,9285.2,
