Group,Experiment,Problem Space,*H2D Mean,*D2H Mean,*D2D Mean,
musaCopy,copyRate2D,64,3.34294,5.84804,9.12571,
musaCopy,copyRate2D,128,9.44318,12.3949,23.8862,
musaCopy,copyRate2D,256,21.5238,24.9212,49.7786,
musaCopy,copyRate2D,512,42.4181,49.4121,99.987,
musaCopy,copyRate2D,1024,84.3443,99.1768,208.513,
musaCopy,copyRate2D,2048,153.35,192.51,398.517,
musaCopy,copyRate2D,4096,292.852,373.876,817.037,
musaCopy,copyRate2D,8192,666.548,701.116,1660.82,
musaCopy,copyRate2D,16384,1268.5,1076.84,3220.95,
musaCopy,copyRate2D,32768,2315.97,1770.34,6324.79,
musaCopy,copyRate2D,65536,3798.36,2874.6,12197.7,
musaCopy,copyRate2D,131072,5836.11,3888.63,19918.6,
musaCopy,copyRate2D,262144,7787.63,4954.6,42483.3,
musaCopy,copyRate2D,524288,8585.1,4513.25,75351.5,
musaCopy,copyRate2D,1048576,8183.55,8422.03,140657,
musaCopy,copyRate2D,2097152,9978.07,9363.94,210907,
musaCopy,copyRate2D,4194304,11775.1,9538.66,381042,
musaCopy,copyRate2D,8388608,12317.4,10267.2,630512,
musaCopy,copyRate2D,16777216,13036.9,11047,901623,
musaCopy,copyRate2D,33554432,12070.5,11215.8,1.15227e+06,
musaCopy,copyRate2D,67108864,11092.5,12951,1.3066e+06,
musaCopy,copyRate2D,134217728,10395.8,14980.6,1.45407e+06,
musaCopy,copyRate2D,268435456,9809.69,15050.5,2.3789e+06,
musaCopy,copyRate2D,536870912,9333.64,15254.8,2.47478e+06,
musaCopy,copyRate2D,1073741824,9368.68,15449.3,2.52748e+06,
musaCopy,copyRate2D,2147483648,9360.1,15612.5,2.5879e+06,
musaCopy,copyRate2D,4294967296,9344.16,15646.1,2.61195e+06,
