Group,Experiment,Problem Space,*T2S Mean,*S2T Mean,*T2T Mean,*T2H Mean,*H2T Mean,
musaCopy,3DArray,64,6.86008,6.9827,12.3836,6.02027,4.58019,
musaCopy,3DArray,128,13.9641,13.0683,27.4466,12.0528,10.5275,
musaCopy,3DArray,256,27.8726,27.4338,53.7489,23.0648,22.1949,
musaCopy,3DArray,512,55.982,55.8023,103.705,46.5889,48.1011,
musaCopy,3DArray,1024,112.419,111.485,220.497,92.6061,98.0116,
musaCopy,3DArray,2048,217.02,219.356,439.394,187.588,190.815,
musaCopy,3DArray,4096,434.202,429.148,882.503,372.348,381.414,
musaCopy,3DArray,8192,878.647,877.87,1770.2,719.262,726.844,
musaCopy,3DArray,16384,1791.42,1709.18,3529.46,1278.68,1423.73,
musaCopy,3DArray,32768,3506.73,3580.64,6892.62,2379.67,2577.9,
musaCopy,3DArray,65536,6961.76,6973.9,13382.2,3888.74,4210.04,
musaCopy,3DArray,131072,13725.3,14129.5,26582.5,5430.43,6632.92,
musaCopy,3DArray,262144,27305.2,26859,48939.7,7566.36,8184.37,
musaCopy,3DArray,524288,52250.3,54038.7,103096,9882.03,10967.2,
musaCopy,3DArray,1048576,94585.6,97786.3,175600,8709.69,11863,
