Group,Experiment,Problem Space,*H2D Mean,*D2H Mean,
musaCopy,copyPinnedRate,4,0.31234,0.328337,
musaCopy,copyPinnedRate,8,0.753085,0.761864,
musaCopy,copyPinnedRate,16,1.59626,1.56564,
musaCopy,copyPinnedRate,32,3.24197,2.4943,
musaCopy,copyPinnedRate,64,6.39559,5.30357,
musaCopy,copyPinnedRate,128,13.075,12.5675,
musaCopy,copyPinnedRate,256,25.8744,25.0235,
musaCopy,copyPinnedRate,512,50.3967,50.1701,
musaCopy,copyPinnedRate,1024,98.9413,100.637,
musaCopy,copyPinnedRate,2048,195.553,197.808,
musaCopy,copyPinnedRate,4096,380.572,394.09,
musaCopy,copyPinnedRate,8192,682.517,770.346,
musaCopy,copyPinnedRate,16384,1215.81,1556.79,
musaCopy,copyPinnedRate,32768,2198.81,3389.16,
musaCopy,copyPinnedRate,65536,4079.63,6265.45,
musaCopy,copyPinnedRate,131072,5983.43,10883.3,
musaCopy,copyPinnedRate,262144,11043,18860.2,
musaCopy,copyPinnedRate,524288,15242.6,27340.9,
musaCopy,copyPinnedRate,1048576,19478.1,36772.6,
musaCopy,copyPinnedRate,2097152,27848.7,43817.6,
musaCopy,copyPinnedRate,4194304,36744.9,48679.5,
musaCopy,copyPinnedRate,8388608,44352.8,51912,
musaCopy,copyPinnedRate,16777216,48977.8,53354.4,
musaCopy,copyPinnedRate,33554432,51475.6,54292.8,
musaCopy,copyPinnedRate,67108864,52814.4,54645,
musaCopy,copyPinnedRate,134217728,53149.2,54943.1,
musaCopy,copyPinnedRate,268435456,53693.6,55101.2,
musaCopy,copyPinnedRate,536870912,54145.5,55210,
musaCopy,copyPinnedRate,1073741824,54509.6,55298.5,
musaCopy,copyPinnedRate,2147483648,54815.9,55316.9,
musaCopy,copyPinnedRate,4294967296,54993.5,55338.2,
