Group,Experiment,Problem Space,*D2H Mean,*H2D Mean,
musaCopy,copyRegisterRate,4,0.331072,0.362289,
musaCopy,copyRegisterRate,8,0.827765,0.938065,
musaCopy,copyRegisterRate,16,1.71259,1.95045,
musaCopy,copyRegisterRate,32,3.38273,3.17535,
musaCopy,copyRegisterRate,64,6.805,7.72061,
musaCopy,copyRegisterRate,128,13.693,15.5263,
musaCopy,copyRegisterRate,256,26.9058,29.5929,
musaCopy,copyRegisterRate,512,54.2916,59.6703,
musaCopy,copyRegisterRate,1024,109.758,119.038,
musaCopy,copyRegisterRate,2048,207.502,192.941,
musaCopy,copyRegisterRate,4096,433.69,446.118,
musaCopy,copyRegisterRate,8192,843.405,782.015,
musaCopy,copyRegisterRate,16384,1477.35,1316.61,
musaCopy,copyRegisterRate,32768,3409.27,2576.36,
musaCopy,copyRegisterRate,65536,6335.45,4504.69,
musaCopy,copyRegisterRate,131072,11356.8,7612.78,
musaCopy,copyRegisterRate,262144,16376.4,11491.8,
musaCopy,copyRegisterRate,524288,27588.2,16630.4,
musaCopy,copyRegisterRate,1048576,36335.4,23031.2,
musaCopy,copyRegisterRate,2097152,43982.6,39659.3,
musaCopy,copyRegisterRate,4194304,48796.3,45346.5,
musaCopy,copyRegisterRate,8388608,52107.7,49114.7,
musaCopy,copyRegisterRate,16777216,53042.5,51352.1,
musaCopy,copyRegisterRate,33554432,53788.3,51135,
musaCopy,copyRegisterRate,67108864,53570.6,51556.7,
musaCopy,copyRegisterRate,134217728,54987.8,52299.8,
musaCopy,copyRegisterRate,268435456,54520.2,51909.9,
musaCopy,copyRegisterRate,536870912,54924.6,51992.8,
musaCopy,copyRegisterRate,1073741824,54816.7,51290.1,
musaCopy,copyRegisterRate,2147483648,54974.8,51996.3,
