Group,Experiment,Problem Space,*BW(MB/s) Mean,*BR(MB/s) Mean,
hostRW,malloc,1,14.6958,21.6016,
hostRW,malloc,8,158.73,198.749,
hostRW,malloc,64,1021.16,1485.65,
hostRW,malloc,512,9496.07,9100.66,
hostRW,malloc,4096,40449.8,46946.8,
hostRW,malloc,32768,29177.5,28053.8,
hostRW,malloc,262144,2440.29,2449.4,
hostRW,malloc,2097152,2153.41,1536.8,
hostRW,malloc,16777216,3467.57,1339.32,
hostRW,malloc,134217728,4148.31,1419.61,
hostRW,malloc,1073741824,4158.86,1313.14,
hostRW,cudaMallocHost,1,2.38151,11.1195,
hostRW,cudaMallocHost,8,25.8851,153.003,
hostRW,cudaMallocHost,64,209.639,1270.69,
hostRW,cudaMallocHost,512,1583.16,11127.3,
hostRW,cudaMallocHost,4096,9785.74,42903.7,
hostRW,cudaMallocHost,32768,10307.7,40140.5,
hostRW,cudaMallocHost,262144,11221.7,39773,
hostRW,cudaMallocHost,2097152,10001.8,13439.8,
hostRW,cudaMallocHost,16777216,8379.53,8883.05,
hostRW,cudaMallocHost,134217728,3930.65,15323.3,
hostRW,cudaMallocHost,1073741824,3978.2,17092.4,
hostRW,cudaMallocManaged,1,0.00664528,2.46387,
hostRW,cudaMallocManaged,8,0.0888283,25.9033,
hostRW,cudaMallocManaged,64,0.765299,198.681,
hostRW,cudaMallocManaged,512,5.40802,1558.67,
hostRW,cudaMallocManaged,4096,47.2383,10921.7,
hostRW,cudaMallocManaged,32768,367.859,10361.9,
hostRW,cudaMallocManaged,262144,2037.32,10314.3,
hostRW,cudaMallocManaged,2097152,6031.91,5348.42,
hostRW,cudaMallocManaged,16777216,4396.45,4360.69,
hostRW,cudaMallocManaged,134217728,2373.88,5623.4,
hostRW,cudaMallocManaged,1073741824,2338.69,5870.68,
hostRW,cudaHostRegister,1,11.8654,16.8013,
hostRW,cudaHostRegister,8,157.742,193.269,
hostRW,cudaHostRegister,64,901.01,985.347,
hostRW,cudaHostRegister,512,9985.44,8854.26,
hostRW,cudaHostRegister,4096,20723.2,45829.8,
hostRW,cudaHostRegister,32768,29433.3,43638.5,
hostRW,cudaHostRegister,262144,27736.8,38833.3,
hostRW,cudaHostRegister,2097152,8496.86,11525,
hostRW,cudaHostRegister,16777216,3445.92,8982.98,
hostRW,cudaHostRegister,134217728,3882.49,14954.9,
hostRW,cudaHostRegister,1073741824,3970.12,17721,
