Group,Experiment,Problem Space,*RW(MB/s) Mean,*W(MB/s) Mean,*R(MB/s) Mean,
hostRW,cudaMalloc,16,3.77367,1.79026,1.83226,
hostRW,cudaMalloc,128,24.432,15.2804,15.3712,
hostRW,cudaMalloc,1024,238.462,117.753,122.374,
hostRW,cudaMalloc,8192,1937.66,964.698,811.899,
hostRW,cudaMalloc,65536,15157.6,7595.8,7465.43,
hostRW,cudaMalloc,524288,121703,59464.7,60257.9,
hostRW,cudaMalloc,4194304,871651,443126,388991,
hostRW,cudaMalloc,33554432,2.89628e+06,1.98198e+06,736044,
hostRW,cudaMalloc,268435456,2.99646e+06,3.04507e+06,836196,
hostRW,cudaMalloc,2147483648,2.89353e+06,2.98075e+06,976693,
hostRW,cudaMallocHost,16,3.00883,1.5342,1.53562,
hostRW,cudaMallocHost,128,23.6172,12.6514,11.6028,
hostRW,cudaMallocHost,1024,194.246,99.1066,97.4516,
hostRW,cudaMallocHost,8192,1446.07,756.622,731.575,
hostRW,cudaMallocHost,65536,10674.1,5762.25,5472.29,
hostRW,cudaMallocHost,524288,36401.1,23595,21236.7,
hostRW,cudaMallocHost,4194304,44280.4,45582.8,29233.3,
hostRW,cudaMallocHost,33554432,46729.6,51163.3,30570.7,
hostRW,cudaMallocHost,268435456,48090.4,52307.7,30214.5,
hostRW,cudaMallocHost,2147483648,51723.4,52586.1,30534.9,
hostRW,cudaMallocManaged,16,3.2965,0.0987701,1.69612,
hostRW,cudaMallocManaged,128,28.1828,1.44628,14.2535,
hostRW,cudaMallocManaged,1024,235.35,14.3642,112.86,
hostRW,cudaMallocManaged,8192,1942.12,106.748,799.615,
hostRW,cudaMallocManaged,65536,14752.7,798.618,7656.29,
hostRW,cudaMallocManaged,524288,119954,5359.09,60424.7,
hostRW,cudaMallocManaged,4194304,903088,21346.7,404949,
hostRW,cudaMallocManaged,33554432,2.92036e+06,26180.1,756189,
hostRW,cudaMallocManaged,268435456,2.98655e+06,27837.7,839175,
hostRW,cudaMallocManaged,2147483648,3.04962e+06,27436,976454,
hostRW,cudaHostRegister,16,3.04585,1.56368,1.52764,
hostRW,cudaHostRegister,128,24.5292,12.884,12.3175,
hostRW,cudaHostRegister,1024,191.571,102.692,97.0093,
hostRW,cudaHostRegister,8192,1545.06,614.931,762.153,
hostRW,cudaHostRegister,65536,8964.05,5812.35,5372.32,
hostRW,cudaHostRegister,524288,34241,26352.8,20060.6,
hostRW,cudaHostRegister,4194304,42228.6,45488.9,28664,
hostRW,cudaHostRegister,33554432,49368.8,48789.7,31196.2,
hostRW,cudaHostRegister,268435456,49304.6,47698.1,30043.2,
hostRW,cudaHostRegister,2147483648,48898.7,46551.7,29752.4,
