Group,Experiment,Problem Space,tunreg Mean,*Bunreg Mean,treg Mean,*Breg Mean,
hostReg,muHostReg,1,0.0357273,0.0280462,0.080775,0.0124343,
hostReg,muHostReg,2,0.0331883,0.0602739,0.0752073,0.0265945,
hostReg,muHostReg,4,0.0330997,0.120853,0.0740227,0.0540398,
hostReg,muHostReg,8,0.032903,0.243153,0.073701,0.108562,
hostReg,muHostReg,16,0.0331073,0.483299,0.073827,0.216737,
hostReg,muHostReg,32,0.0329993,0.96978,0.0745743,0.429105,
hostReg,muHostReg,64,0.0329567,1.94195,0.074399,0.8604,
hostReg,muHostReg,128,0.0328037,3.90227,0.073576,1.73993,
hostReg,muHostReg,256,0.0385287,6.87325,0.0752273,3.40575,
hostReg,muHostReg,512,0.033289,15.3826,0.0747147,6.85528,
hostReg,muHostReg,1024,0.033088,30.9504,0.0738673,13.8636,
hostReg,muHostReg,2048,0.0338073,60.5846,0.075082,27.2779,
hostReg,muHostReg,4096,0.046701,87.7073,0.114658,35.7248,
hostReg,muHostReg,8192,0.062522,131.311,0.15744,52.0627,
hostReg,muHostReg,16384,0.060004,273.093,0.157454,104.084,
hostReg,muHostReg,32768,0.0626477,523.917,0.158782,206.513,
hostReg,muHostReg,65536,0.0615977,1064.14,0.160741,408.124,
hostReg,muHostReg,131072,0.0633193,2070.45,0.163907,799.948,
hostReg,muHostReg,262144,0.0673727,3906.04,0.162847,1609.78,
hostReg,muHostReg,524288,0.0753617,6972.61,0.179366,2925.37,
hostReg,muHostReg,1048576,0.0863357,12167.2,0.196389,5357.32,
hostReg,muHostReg,2097152,0.125848,16739.9,0.259054,8098.21,
hostReg,muHostReg,4194304,0.172507,24364.4,0.315804,13298.6,
hostReg,muHostReg,8388608,0.254169,33007.4,0.433352,19360.7,
hostReg,muHostReg,16777216,0.437145,38388.2,0.706039,23807.9,
hostReg,muHostReg,33554432,0.79779,42062.2,1.15754,28990.1,
hostReg,muHostReg,67108864,1.53864,43616.5,3.02308,25138.4,
hostReg,muHostReg,134217728,3.00472,44669.9,4.23858,31665.8,
hostReg,muHostReg,268435456,5.88568,45608.5,8.47359,31687.7,
hostReg,muHostReg,536870912,11.6732,45994,16.5324,32487.2,
hostReg,muHostReg,1073741824,25.0906,43268.4,38.2227,29238.5,
hostReg,muHostReg,2147483648,46.4857,46205.7,66.5003,32334.8,
hostReg,muHostReg,4294967296,98.4226,43728.3,162.178,27146.8,
