Group,Experiment,Problem Space,t(Open) Mean,*B(Open) Mean,t(Get) Mean,*B(Get) Mean,
ipc,ipcMemory,32,0.131048,0.244016,0.00452,8.38106,
ipc,ipcMemory,64,0.122816,0.499301,0.339312,15.0693,
ipc,ipcMemory,128,0.121648,1.00466,0.294072,20.3181,
ipc,ipcMemory,256,0.125776,1.94536,0.003048,80.1047,
ipc,ipcMemory,512,0.461344,3.22825,0.003096,157.945,
ipc,ipcMemory,1024,0.123736,7.91038,0.059272,243.726,
ipc,ipcMemory,2048,0.119808,16.3097,0.746224,477.104,
ipc,ipcMemory,4096,0.120328,32.5037,0.003048,1281.68,
ipc,ipcMemory,8192,0.118368,66.1434,0.003392,2363.02,
ipc,ipcMemory,16384,0.124664,125.389,0.003016,5180.81,
ipc,ipcMemory,32768,0.12648,248.237,0.93076,5202.65,
ipc,ipcMemory,65536,1.37798,371.501,0.58832,10200.1,
ipc,ipcMemory,131072,0.127512,999.427,0.561808,30638.6,
ipc,ipcMemory,262144,0.130192,1931.08,0.13744,41378.4,
ipc,ipcMemory,524288,0.27324,3279.95,0.668456,123840,
ipc,ipcMemory,1048576,0.512848,6306.04,0.355736,241919,
ipc,ipcMemory,2097152,0.119408,16757.6,0.003072,651358,
ipc,ipcMemory,4194304,0.123456,32458.5,0.170672,664082,
ipc,ipcMemory,8388608,0.120704,66546.9,0.003088,2.59212e+06,
ipc,ipcMemory,16777216,0.119376,134113,0.003008,5.31915e+06,
ipc,ipcMemory,33554432,0.138776,231537,0.003048,1.05001e+07,
ipc,ipcMemory,67108864,0.13396,478519,0.003032,2.11098e+07,
ipc,ipcMemory,134217728,0.145864,908429,0.003048,4.2007e+07,
ipc,ipcMemory,268435456,0.148152,1.73293e+06,0.039896,5.86958e+07,
ipc,ipcMemory,536870912,0.1586,3.22943e+06,0.003832,1.33703e+08,
ipc,ipcMemory,1073741824,0.169528,6.04331e+06,0.003864,2.65744e+08,
