Group,Experiment,Problem Space,tfree Mean,*Mfree Mean,tmall Mean,*Bmall Mean,
musa_malloc,normal_mem,1,0.0804693,0.0124312,0.07835,0.0127792,
musa_malloc,normal_mem,2,0.0816103,0.0245715,0.0762997,0.0262316,
musa_malloc,normal_mem,4,0.0816183,0.0492183,0.0750147,0.0533288,
musa_malloc,normal_mem,8,0.0783467,0.102135,0.0772303,0.103862,
musa_malloc,normal_mem,16,0.0810223,0.197672,0.0777077,0.206519,
musa_malloc,normal_mem,32,0.080064,0.399906,0.075865,0.422092,
musa_malloc,normal_mem,64,0.0815623,0.78618,0.0754273,0.84887,
musa_malloc,normal_mem,128,0.079745,1.60522,0.0793473,1.6163,
musa_malloc,normal_mem,256,0.0787557,3.25058,0.078171,3.28098,
musa_malloc,normal_mem,512,0.0787543,6.50141,0.07587,6.74936,
musa_malloc,normal_mem,1024,0.078454,13.0534,0.076559,13.3759,
musa_malloc,normal_mem,2048,0.0800657,25.5955,0.075288,27.2035,
musa_malloc,normal_mem,4096,0.0804393,51.001,0.075112,54.5338,
musa_malloc,normal_mem,8192,0.079768,102.718,0.074815,109.498,
musa_malloc,normal_mem,16384,0.0790717,207.229,0.0775107,211.777,
musa_malloc,normal_mem,32768,0.0818457,401.185,0.0777223,422.519,
musa_malloc,normal_mem,65536,0.080856,811.451,0.0778663,843.668,
musa_malloc,normal_mem,131072,0.081149,1618.27,0.076371,1716.81,
musa_malloc,normal_mem,262144,0.0784663,3340.86,0.0775623,3382.81,
musa_malloc,normal_mem,524288,0.0788057,6652.96,0.0785247,6693.15,
musa_malloc,normal_mem,1048576,0.07834,13386.1,0.0767473,13668.1,
musa_malloc,normal_mem,2097152,0.077849,26939.5,0.0747173,28071,
musa_malloc,normal_mem,4194304,0.080793,51933.6,0.0778313,53930.8,
musa_malloc,normal_mem,8388608,0.0827147,101504,0.075907,110518,
musa_malloc,normal_mem,16777216,0.086223,194927,0.0766413,218993,
musa_malloc,normal_mem,33554432,0.0919667,365442,0.084769,397388,
musa_malloc,normal_mem,67108864,0.101199,664495,0.0817693,823487,
musa_malloc,normal_mem,134217728,0.119539,1.12382e+06,0.081591,1.64779e+06,
musa_malloc,normal_mem,268435456,0.159439,1.68424e+06,0.0828923,3.24159e+06,
musa_malloc,normal_mem,536870912,0.356302,1.53483e+06,0.206525,2.62341e+06,
musa_malloc,normal_mem,1073741824,0.496778,2.16855e+06,0.735689,2.18303e+06,
musa_malloc,normal_mem,2147483648,0.722793,2.99975e+06,0.983868,2.18271e+06,
musa_malloc,normal_mem,4294967296,1.70717,2.52102e+06,0.895589,4.95037e+06,
musa_malloc,pinned_mem,1,0.271114,0.00369612,0.767724,0.00130429,
musa_malloc,pinned_mem,2,0.260189,0.00768884,0.796502,0.00251104,
musa_malloc,pinned_mem,4,0.270984,0.0147643,0.786455,0.00508616,
musa_malloc,pinned_mem,8,0.259069,0.0308874,0.795658,0.0100558,
musa_malloc,pinned_mem,16,0.258918,0.0618107,0.79709,0.0200735,
musa_malloc,pinned_mem,32,0.264227,0.121108,0.780808,0.0409868,
musa_malloc,pinned_mem,64,0.256186,0.249832,0.797133,0.0802893,
musa_malloc,pinned_mem,128,0.260237,0.492276,0.795301,0.16095,
musa_malloc,pinned_mem,256,0.268875,0.952347,0.787773,0.324969,
musa_malloc,pinned_mem,512,0.255985,2.00017,0.794685,0.644334,
musa_malloc,pinned_mem,1024,0.258902,3.95567,0.798449,1.28251,
musa_malloc,pinned_mem,2048,0.263874,7.76141,0.784161,2.61185,
musa_malloc,pinned_mem,4096,0.262624,15.6081,0.795366,5.15034,
musa_malloc,pinned_mem,8192,0.270547,30.3307,0.795561,10.2975,
musa_malloc,pinned_mem,16384,0.582724,44.5734,0.948865,18.1716,
musa_malloc,pinned_mem,32768,0.258461,126.806,0.793367,41.3065,
musa_malloc,pinned_mem,65536,0.262757,249.436,0.792129,82.7364,
musa_malloc,pinned_mem,131072,0.26088,502.526,0.789422,166.048,
musa_malloc,pinned_mem,262144,0.257092,1019.71,0.796433,329.156,
musa_malloc,pinned_mem,524288,0.258771,2026.83,0.615427,886.089,
musa_malloc,pinned_mem,1048576,0.261479,4011.1,0.516995,2028.68,
musa_malloc,pinned_mem,2097152,0.265821,7897.6,0.514769,4074.56,
musa_malloc,pinned_mem,4194304,0.488003,8598.05,1.11382,3770.69,
musa_malloc,pinned_mem,8388608,0.911279,9205.32,2.05024,4095.23,
musa_malloc,pinned_mem,16777216,1.81388,9249.39,4.44593,3775.75,
musa_malloc,pinned_mem,33554432,3.61576,9286.52,8.61188,3933.23,
musa_malloc,pinned_mem,67108864,7.28369,9220.02,17.0603,3936.4,
musa_malloc,pinned_mem,134217728,14.2026,9450.29,35.8291,3747.88,
musa_malloc,pinned_mem,268435456,27.8784,9633.43,82.0318,3273.99,
musa_malloc,pinned_mem,536870912,53.8857,9963.35,166.017,3247.66,
musa_malloc,pinned_mem,1073741824,108.298,9915.82,323.486,3319.98,
musa_malloc,pinned_mem,2147483648,214.671,10005.2,659.818,3255.82,
musa_malloc,pinned_mem,4294967296,442.976,9696.85,1310.18,3278.16,
