Group,Experiment,Problem Space,*D3D8 Mean,*D2D8 Mean,*D1D8 Mean,
memSet,setVal,1,0.148338,62.536,0.112178,
memSet,setVal,2,0.297663,69.0245,0.27837,
memSet,setVal,4,0.613346,77.3934,0.603818,
memSet,setVal,8,1.19173,76.6994,1.16098,
memSet,setVal,16,2.41151,694.304,2.35593,
memSet,setVal,32,4.3581,849.151,4.75404,
memSet,setVal,64,9.69289,824.042,9.29655,
memSet,setVal,128,13.8321,865.566,18.7182,
memSet,setVal,256,28.8664,909.344,36.3669,
memSet,setVal,512,56.8559,869.596,73.4325,
memSet,setVal,1024,111.832,862.109,141.208,
memSet,setVal,2048,185.333,915.165,278.726,
memSet,setVal,4096,435.081,882.52,523.428,
memSet,setVal,8192,861.024,949.185,872.506,
memSet,setVal,16384,1739.59,1843.08,1838.77,
memSet,setVal,32768,3451.08,3844.5,3525.16,
memSet,setVal,65536,6816.63,7238.95,7567.34,
memSet,setVal,131072,14388.8,14262.2,13092.5,
memSet,setVal,262144,26953.1,29465.6,27440.9,
memSet,setVal,524288,57924.4,58595.4,50105.1,
memSet,setVal,1048576,107873,120038,109508,
memSet,setVal,2097152,223436,210294,217674,
memSet,setVal,4194304,422150,426984,404243,
memSet,setVal,8388608,754791,737060,762230,
memSet,setVal,16777216,1.25904e+06,1.2828e+06,1.11196e+06,
memSet,setVal,33554432,1.81536e+06,1.88927e+06,1.865e+06,
memSet,setVal,67108864,2.33953e+06,2.30732e+06,2.32486e+06,
memSet,setVal,134217728,2.68876e+06,2.71842e+06,2.71105e+06,
memSet,setVal,268435456,2.97814e+06,2.93991e+06,2.92659e+06,
memSet,setVal,536870912,2.69415e+06,2.70251e+06,2.77357e+06,
memSet,setVal,1073741824,2.76579e+06,2.74929e+06,2.78577e+06,
memSet,setVal,2147483648,2.81856e+06,2.787e+06,2.78278e+06,
memSet,setVal,4294967296,3.15793e+06,3.01801e+06,3.01829e+06,
