Group,Experiment,Problem Space,*t+/t| Mean,t1|2 Mean,t|2 Mean,t|1 Mean,t1+2 Mean,t+2 Mean,t+1 Mean,
Parallelism,DtoD_DtoD,1073741824,0.994389,1.68072,1.6232,1.64442,1.67129,0.82048,0.820512,
Parallelism,DtoD_DtoPH,1073741824,1.03226,20.5644,20.5014,0.844992,21.2278,20.3788,0.819488,
Parallelism,DtoD_PHtoD,1073741824,1.03156,20.5851,20.5192,0.847328,21.2348,20.3872,0.818496,
Parallelism,DtoD_SET,1073741824,0.991045,1.19921,1.13043,1.16659,1.18847,0.335712,0.82336,
Parallelism,DtoD_CBK,1073741824,0.205344,23.1523,23.1098,19.2389,4.75418,3.90131,0.822304,
Parallelism,DtoD_MBK,1073741824,0.956775,8.76516,8.72464,0.952416,8.38628,7.53901,0.81824,
Parallelism,DtoPH_DtoPH,1073741824,0.977838,39.7844,39.7318,20.2884,38.9027,19.4021,19.4661,
Parallelism,DtoPH_PHtoD,1073741824,1.25464,31.0151,23.4483,30.9718,38.9126,19.4347,19.448,
Parallelism,DtoPH_SET,1073741824,0.968247,20.5053,0.386176,20.4734,19.8542,0.335872,19.4872,
Parallelism,DtoPH_CBK,1073741824,1.16108,20.441,3.92304,20.4078,23.7336,3.90179,19.8008,
Parallelism,DtoPH_MBK,1073741824,1.33554,20.4913,7.41782,20.458,27.367,7.35315,19.9832,
Parallelism,PHtoD_PHtoD,1073741824,1.0027,39.2205,39.1685,19.7489,39.3266,19.5039,19.7934,
Parallelism,PHtoD_SET,1073741824,1.01411,19.7531,0.353536,19.7206,20.0318,0.336224,19.6661,
Parallelism,PHtoD_CBK,1073741824,1.19654,19.7359,3.92422,19.7034,23.6148,3.90134,19.6846,
Parallelism,PHtoD_MBK,1073741824,1.36451,19.7425,7.25974,19.7155,26.9389,7.1673,19.7393,
Parallelism,SET_SET,1073741824,1.00261,0.798513,0.754656,0.399136,0.800599,0.38512,0.384896,
Parallelism,SET_CBK,1073741824,0.273013,15.647,15.6101,0.388992,4.27184,3.90534,0.336704,
Parallelism,SET_MBK,1073741824,0.968521,7.96019,7.9289,0.388768,7.7096,7.34458,0.335552,
Parallelism,CBK_CBK,1073741824,1.99016,3.93859,3.90784,3.90797,7.83842,3.90435,3.90435,
Parallelism,CBK_MBK,1073741824,1.40194,8.0455,8.01347,3.90602,11.2793,7.34397,3.90518,
Parallelism,MBK_MBK,1073741824,1.73259,8.54498,8.29728,8.52051,14.805,7.2368,7.5375,
