Group,Experiment,Problem Space,*TP(s^-1) Mean,tAll(ms) Mean,tAll(ms) Min,tAll(ms) Max,tPer(us) Mean,LaunchCnt Mean,
mulStreams,nullkernel,1,465097,0.0691984,0.065664,0.093472,2.16245,32,
mulStreams,nullkernel,2,281737,0.115592,0.076192,0.148032,3.61225,32,
mulStreams,nullkernel,3,294294,0.139198,0.065312,0.431392,4.34993,32,
mulStreams,nullkernel,4,243244,0.143616,0.067712,0.256928,4.488,32,
mulStreams,nullkernel,5,270127,0.138275,0.065888,0.318048,4.3211,32,
mulStreams,nullkernel,6,251017,0.141887,0.066304,0.336768,4.43397,32,
mulStreams,nullkernel,7,261637,0.145536,0.065664,0.36192,4.54801,32,
mulStreams,nullkernel,8,232929,0.154053,0.068032,0.300864,4.81416,32,
mulStreams,nullkernel,9,249256,0.152535,0.065472,0.32048,4.76673,32,
mulStreams,nullkernel,10,249057,0.144158,0.066144,0.304928,4.50495,32,
mulStreams,nullkernel,11,257339,0.14465,0.06544,0.342784,4.52032,32,
mulStreams,nullkernel,12,248219,0.145568,0.065632,0.401568,4.549,32,
mulStreams,nullkernel,13,259417,0.141696,0.065024,0.398432,4.42798,32,
mulStreams,nullkernel,14,243199,0.158322,0.067104,2.2503,4.94757,32,
mulStreams,nullkernel,15,250873,0.147758,0.065152,0.400448,4.61744,32,
mulStreams,nullkernel,16,256759,0.140933,0.06528,0.31632,4.40416,32,
mulStreams,nullAndRecord,1,196540,0.162894,0.158048,0.17168,5.09045,32,
mulStreams,nullAndRecord,2,137433,0.23365,0.213888,0.278624,7.30155,32,
mulStreams,nullAndRecord,3,139184,0.252165,0.158464,0.393856,7.88015,32,
mulStreams,nullAndRecord,4,130710,0.254194,0.161792,0.360352,7.94356,32,
mulStreams,nullAndRecord,5,128711,0.269716,0.159584,0.457664,8.42864,32,
mulStreams,nullAndRecord,6,119625,0.279139,0.168256,0.510816,8.72311,32,
mulStreams,nullAndRecord,7,124538,0.276913,0.159872,0.42368,8.65353,32,
mulStreams,nullAndRecord,8,119084,0.293974,0.162816,1.39728,9.18669,32,
mulStreams,nullAndRecord,9,127158,0.277677,0.159648,2.16666,8.67741,32,
mulStreams,nullAndRecord,10,126943,0.290788,0.160864,2.02301,9.08713,32,
mulStreams,nullAndRecord,11,130881,0.258998,0.15856,0.448416,8.0937,32,
mulStreams,nullAndRecord,12,130521,0.259127,0.157408,0.475936,8.09771,32,
mulStreams,nullAndRecord,13,125498,0.269847,0.15872,0.498944,8.43273,32,
mulStreams,nullAndRecord,14,125015,0.269222,0.160864,0.488544,8.41319,32,
mulStreams,nullAndRecord,15,125739,0.270362,0.159648,0.500512,8.44883,32,
mulStreams,nullAndRecord,16,126392,0.27019,0.160224,0.524288,8.44343,32,
