Group,Experiment,Problem Space,*ratio Mean,gr(MB/s) Mean,gr(ms) Mean,no(MB/s) Mean,no(ms) Mean,str(M/s) Mean,str(us) Mean,
testGraph,naiveGraph,16,1.62753,2.57879,24.8208,1.65359,40.4836,0.115565,62,
testGraph,naiveGraph,64,1.42644,10.2225,25.043,7.16649,35.722,0.1299,34,
testGraph,naiveGraph,256,1.41302,38.9234,26.3094,27.5461,37.1746,0.155181,26,
testGraph,naiveGraph,1024,1.37384,139.189,29.4294,101.313,40.429,0.136963,31,
testGraph,naiveGraph,4096,1.3596,450.84,36.342,331.597,49.4094,0.138719,29,
testGraph,naiveGraph,16384,1.02708,739.102,88.67,719.617,91.0708,0.111588,37.8,
testGraph,naiveGraph,65536,1.15869,1585.22,165.368,1368.11,191.611,0.0791593,50.8,
testGraph,typicalGraph,16,1.98947,1.69027,37.2,0.857799,74,0.119602,88.4,
testGraph,typicalGraph,64,1.96842,6.72225,37.8,3.41116,74.4,0.152501,52.8,
testGraph,typicalGraph,256,1.92794,26.1869,38.6,13.6498,74.4,0.139512,61.4,
testGraph,typicalGraph,1024,1.74737,147.489,27.6,84.8193,48,0.23951,34.6,
testGraph,typicalGraph,4096,1.78621,550.454,29,314.006,51.8,0.24059,33.4,
testGraph,typicalGraph,16384,1.30084,1215.75,53.2,942.801,69.2,0.224709,36.8,
testGraph,typicalGraph,65536,1.32072,2354.69,111,1781.37,146.6,0.196552,41.4,
testGraph,complexGraph,16,0.891844,0.338217,188.6,0.379362,168.2,0.285402,111.8,
testGraph,complexGraph,64,0.890202,1.34959,189.4,1.51533,168.6,0.312095,96.2,
testGraph,complexGraph,256,0.926338,5.54284,184.4,5.97369,170.8,0.292225,104.8,
testGraph,complexGraph,1024,0.924781,21.3593,191.4,23.0801,177,0.316217,95,
testGraph,complexGraph,4096,0.959554,76.8163,212.6,80.1038,204,0.287135,109.2,
testGraph,complexGraph,16384,1.07615,239.471,273.2,222.728,294,0.311407,96.4,
testGraph,complexGraph,65536,1.16112,537.955,486.6,463.368,565,0.270273,117.2,
testGraph,pureDeviceGraph,16,2.72184,2.13498,29.4,0.79718,80,0.171228,207,
testGraph,pureDeviceGraph,64,2.72184,8.5432,29.4,3.18405,80,0.101833,318.2,
testGraph,pureDeviceGraph,256,2.68,33.3202,30,12.6369,80.4,0.154596,209.6,
testGraph,pureDeviceGraph,1024,2.48485,121.474,33,49.9013,82,0.143274,290.8,
testGraph,pureDeviceGraph,4096,2.32432,433.616,37,189.718,86,0.110328,286.6,
testGraph,pureDeviceGraph,16384,1.93193,1233.51,52.8,638.009,102,0.105432,349.4,
testGraph,pureDeviceGraph,65536,1.55435,2839.91,92,1823.05,143,0.107006,310.4,
