Group,Experiment,Problem Space,err Mean,*D2AH Mean,*AH2D Mean,
musaCopy,copyRateAligned,4,0,0.271324,0.282003,
musaCopy,copyRateAligned,8,0,0.565835,0.641316,
musaCopy,copyRateAligned,16,0,1.11066,1.51053,
musaCopy,copyRateAligned,32,0,1.79412,3.11667,
musaCopy,copyRateAligned,64,0,4.64369,6.13928,
musaCopy,copyRateAligned,128,0,8.88252,12.3044,
musaCopy,copyRateAligned,256,0,17.8888,23.6239,
musaCopy,copyRateAligned,512,0,35.2647,48.4725,
musaCopy,copyRateAligned,1024,0,69.6042,94.3064,
musaCopy,copyRateAligned,2048,0,132.34,191.963,
musaCopy,copyRateAligned,4096,0,262.31,354.654,
musaCopy,copyRateAligned,8192,0,478.387,618.194,
musaCopy,copyRateAligned,16384,0,794.95,845.19,
musaCopy,copyRateAligned,32768,0,1278.35,1372.3,
musaCopy,copyRateAligned,65536,0,1815.4,1738.49,
musaCopy,copyRateAligned,131072,0,2265.48,3350.61,
musaCopy,copyRateAligned,262144,0,2666.7,4257.99,
musaCopy,copyRateAligned,524288,0,3009.71,4668.28,
musaCopy,copyRateAligned,1048576,0,3296.15,4130.35,
musaCopy,copyRateAligned,2097152,0,4974.96,5231.96,
musaCopy,copyRateAligned,4194304,0,5376.18,5471.61,
musaCopy,copyRateAligned,8388608,0,5667.77,5640.33,
musaCopy,copyRateAligned,16777216,0,5761.97,5755.11,
musaCopy,copyRateAligned,33554432,0,6012.66,5896.22,
musaCopy,copyRateAligned,67108864,0,7163.71,6041.22,
musaCopy,copyRateAligned,134217728,0,9061.25,5789.06,
musaCopy,copyRateAligned,268435456,0,10643,5855.75,
musaCopy,copyRateAligned,536870912,0,15082.5,8409.32,
musaCopy,copyRateAligned,1073741824,0,15148.2,8621.88,
musaCopy,copyRateAligned,2147483648,0,15212.9,9617.06,
musaCopy,copyRateAligned,4294967296,0,14621.9,9989.42,
