Group,Experiment,Problem Space,*D2D Mean,*D2H Mean,err Mean,*H2D Mean,
musaCopy,copyRateUnAligned,4,0.448748,0.231257,0,0.271077,
musaCopy,copyRateUnAligned,8,0.991846,0.546435,0,0.646042,
musaCopy,copyRateUnAligned,16,2.20881,1.10235,0,1.47242,
musaCopy,copyRateUnAligned,32,4.69807,2.20703,0,2.98824,
musaCopy,copyRateUnAligned,64,9.59642,4.46804,0,6.04614,
musaCopy,copyRateUnAligned,128,18.8661,8.79637,0,12.0139,
musaCopy,copyRateUnAligned,256,39.2929,17.7856,0,24.0977,
musaCopy,copyRateUnAligned,512,79.2101,35.0663,0,46.2763,
musaCopy,copyRateUnAligned,1024,153.824,70.3929,0,92.6229,
musaCopy,copyRateUnAligned,2048,289.147,140.127,0,177.989,
musaCopy,copyRateUnAligned,4096,600.762,267.154,0,343.441,
musaCopy,copyRateUnAligned,8192,1218.99,490.588,0,621.346,
musaCopy,copyRateUnAligned,16384,2271.45,887.004,0,974.482,
musaCopy,copyRateUnAligned,32768,4784.47,1402.94,0,1416.52,
musaCopy,copyRateUnAligned,65536,9365.57,2108.97,0,1822.81,
musaCopy,copyRateUnAligned,131072,18013.9,2800.12,0,3959.97,
musaCopy,copyRateUnAligned,262144,34048,3571.48,0,5553.51,
musaCopy,copyRateUnAligned,524288,57442.6,4634.44,0,5805.16,
musaCopy,copyRateUnAligned,1048576,104763,5364.36,0,5842.17,
musaCopy,copyRateUnAligned,2097152,218337,7981.06,0,8082.09,
musaCopy,copyRateUnAligned,4194304,409747,9313.05,0,9560.31,
musaCopy,copyRateUnAligned,8388608,815533,10955.7,0,10777.5,
musaCopy,copyRateUnAligned,16777216,1.42069e+06,11816.4,0,11317.5,
musaCopy,copyRateUnAligned,33554432,1.78123e+06,11973.4,0,11759.4,
musaCopy,copyRateUnAligned,67108864,2.07224e+06,12270.5,0,11853.3,
musaCopy,copyRateUnAligned,134217728,2.56464e+06,12334.8,0,10702.6,
musaCopy,copyRateUnAligned,268435456,2.92172e+06,12445.6,0,10407.1,
musaCopy,copyRateUnAligned,536870912,3.27906e+06,13160.6,0,8897.59,
musaCopy,copyRateUnAligned,1073741824,3.48066e+06,13226.5,0,9765.23,
musaCopy,copyRateUnAligned,2147483648,3.6308e+06,13270.9,0,9395.13,
musaCopy,copyRateUnAligned,4294967296,3.71494e+06,13174.4,0,9863.1,
