Group,Experiment,Problem Space,*T2S Mean,*S2T Mean,*T2T Mean,*T2H Mean,*H2T Mean,
musaCopy,3DArray,64,6.97992,6.89157,13.5013,5.72695,4.84825,
musaCopy,3DArray,128,14.3678,14.0478,27.9919,11.6687,10.8176,
musaCopy,3DArray,256,28.6698,28.6247,55.0674,23.0497,23.2924,
musaCopy,3DArray,512,56.3626,56.7096,110.788,44.1817,47.5145,
musaCopy,3DArray,1024,114.19,112.971,220.543,89.5536,96.3276,
musaCopy,3DArray,2048,225.125,226.155,437.775,183.667,191.41,
musaCopy,3DArray,4096,448.143,452.965,886.253,360.819,379.692,
musaCopy,3DArray,8192,897.379,883.217,1762.74,682.349,734.243,
musaCopy,3DArray,16384,1757.95,1779.09,3449.25,1238.21,1362.29,
musaCopy,3DArray,32768,3485.43,3532.04,6916.58,2030.66,2481.08,
musaCopy,3DArray,65536,6992.62,7011.39,13621.9,3454.47,4222.65,
musaCopy,3DArray,131072,14012.1,14040.7,25668.9,4940.45,6277.75,
musaCopy,3DArray,262144,27145.2,27739.1,53123.3,6551.54,8602.63,
musaCopy,3DArray,524288,51895.6,52258.6,101093,8668.99,10413.8,
musaCopy,3DArray,1048576,95026.4,99114,173748,9007.06,10898.6,
