Group,Experiment,Problem Space,*H2D Mean,*D2H Mean,*D2D Mean,
musaCopy,copyRate3D,64,2.7963,4.47414,7.13374,
musaCopy,copyRate3D,128,7.2973,9.6487,17.4479,
musaCopy,copyRate3D,256,16.024,19.3294,37.9133,
musaCopy,copyRate3D,512,33.1907,38.6699,78.6394,
musaCopy,copyRate3D,1024,66.6838,77.1028,155.375,
musaCopy,copyRate3D,2048,134.719,151.577,320.705,
musaCopy,copyRate3D,4096,265.766,299.135,628.744,
musaCopy,copyRate3D,8192,519.393,537.209,1263.22,
musaCopy,copyRate3D,16384,988.575,934.102,2505.27,
musaCopy,copyRate3D,32768,1742.66,1476.42,5042.11,
musaCopy,copyRate3D,65536,2944.34,2102.05,9533.6,
musaCopy,copyRate3D,131072,4467.7,2719.32,19376.6,
musaCopy,copyRate3D,262144,5904,3435.27,35281.9,
musaCopy,copyRate3D,524288,7115.34,3966.6,66477,
musaCopy,copyRate3D,1048576,6474.43,5807.8,122241,
musaCopy,copyRate3D,2097152,8919.26,5978.08,220522,
musaCopy,copyRate3D,4194304,10621,6906.92,428828,
musaCopy,copyRate3D,8388608,13032.9,7560.79,797553,
musaCopy,copyRate3D,16777216,12310.1,7813.28,1.28404e+06,
musaCopy,copyRate3D,33554432,11594.6,9234.63,1.43209e+06,
musaCopy,copyRate3D,67108864,10633.2,11044.1,1.4512e+06,
musaCopy,copyRate3D,134217728,10484,11750.6,1.70444e+06,
musaCopy,copyRate3D,268435456,10398.7,11854.3,1.81811e+06,
musaCopy,copyRate3D,536870912,7622.91,12680.9,1.95522e+06,
musaCopy,copyRate3D,1073741824,5421.39,12050.1,1.98876e+06,
musaCopy,copyRate3D,2147483648,5763.31,12242.6,2.04028e+06,
musaCopy,copyRate3D,4294967296,8205.48,12109.9,2.0596e+06,
