Group,Experiment,Problem Space,*H2D Mean,*D2H Mean,
musaCopy,copyPinnedRate,4,0.337667,0.293717,
musaCopy,copyPinnedRate,8,0.754199,0.709566,
musaCopy,copyPinnedRate,16,1.61675,1.46873,
musaCopy,copyPinnedRate,32,2.81926,3.00833,
musaCopy,copyPinnedRate,64,6.63103,5.96584,
musaCopy,copyPinnedRate,128,12.747,12.0685,
musaCopy,copyPinnedRate,256,25.9099,23.7013,
musaCopy,copyPinnedRate,512,46.1626,47.7604,
musaCopy,copyPinnedRate,1024,101.613,96.5362,
musaCopy,copyPinnedRate,2048,197.377,187.609,
musaCopy,copyPinnedRate,4096,381.612,375.482,
musaCopy,copyPinnedRate,8192,687.523,749.089,
musaCopy,copyPinnedRate,16384,1136.73,1514.1,
musaCopy,copyPinnedRate,32768,2124.1,3242,
musaCopy,copyPinnedRate,65536,3746.13,6008,
musaCopy,copyPinnedRate,131072,6538.87,11039.8,
musaCopy,copyPinnedRate,262144,9865.98,18189.7,
musaCopy,copyPinnedRate,524288,13428.6,27463.4,
musaCopy,copyPinnedRate,1048576,16423.6,36827.2,
musaCopy,copyPinnedRate,2097152,23804.9,43948.2,
musaCopy,copyPinnedRate,4194304,33618.4,49138.7,
musaCopy,copyPinnedRate,8388608,41763.5,51934.3,
musaCopy,copyPinnedRate,16777216,47880.5,53584.8,
musaCopy,copyPinnedRate,33554432,51190.5,53177.6,
musaCopy,copyPinnedRate,67108864,53056,54743.8,
musaCopy,copyPinnedRate,134217728,54153.1,54987.1,
musaCopy,copyPinnedRate,268435456,54761.9,52659,
musaCopy,copyPinnedRate,536870912,55160.3,52508.5,
musaCopy,copyPinnedRate,1073741824,55265.1,52736,
musaCopy,copyPinnedRate,2147483648,55386.6,53150.5,
musaCopy,copyPinnedRate,4294967296,55418.2,53074.5,
