Group,Experiment,Problem Space,*D2H Mean,*H2D Mean,
musaCopy,copyRegisterRate,4,0.349979,0.377106,
musaCopy,copyRegisterRate,8,0.800008,0.899716,
musaCopy,copyRegisterRate,16,1.59619,1.83126,
musaCopy,copyRegisterRate,32,3.23489,3.79211,
musaCopy,copyRegisterRate,64,6.49538,7.55567,
musaCopy,copyRegisterRate,128,13.1191,15.1404,
musaCopy,copyRegisterRate,256,26.5676,29.252,
musaCopy,copyRegisterRate,512,53.0909,60.4831,
musaCopy,copyRegisterRate,1024,102.921,117.544,
musaCopy,copyRegisterRate,2048,207.059,229.331,
musaCopy,copyRegisterRate,4096,401.327,420.732,
musaCopy,copyRegisterRate,8192,815.783,786.532,
musaCopy,copyRegisterRate,16384,1651.85,1292.28,
musaCopy,copyRegisterRate,32768,3379.74,2493.32,
musaCopy,copyRegisterRate,65536,6063.88,4293.54,
musaCopy,copyRegisterRate,131072,10942.2,7205.14,
musaCopy,copyRegisterRate,262144,18464.1,10616.8,
musaCopy,copyRegisterRate,524288,27900.9,14244.8,
musaCopy,copyRegisterRate,1048576,36994,20877.4,
musaCopy,copyRegisterRate,2097152,44002.9,40089.3,
musaCopy,copyRegisterRate,4194304,48990.9,45897.6,
musaCopy,copyRegisterRate,8388608,52027.7,50216.3,
musaCopy,copyRegisterRate,16777216,52697.8,52523.2,
musaCopy,copyRegisterRate,33554432,53887.3,53789.3,
musaCopy,copyRegisterRate,67108864,54548.9,53829.9,
musaCopy,copyRegisterRate,134217728,54913.9,54390.2,
musaCopy,copyRegisterRate,268435456,54707.9,54739.1,
musaCopy,copyRegisterRate,536870912,53499.5,54863.2,
musaCopy,copyRegisterRate,1073741824,52481,55054.3,
musaCopy,copyRegisterRate,2147483648,52518.9,55051.2,
