Group,Experiment,Problem Space,*BW(MB/s) Mean,*BR(MB/s) Mean,
hostRW,malloc,1,11.9749,16.1533,
hostRW,malloc,8,143.907,170.175,
hostRW,malloc,64,1122.03,1272.53,
hostRW,malloc,512,6915.65,8637.82,
hostRW,malloc,4096,19662,32641.6,
hostRW,malloc,32768,15863.5,16574.3,
hostRW,malloc,262144,1623.02,2201.8,
hostRW,malloc,2097152,1157.36,1165.99,
hostRW,malloc,16777216,1230.62,1199.82,
hostRW,malloc,134217728,905.36,822.483,
hostRW,malloc,1073741824,936.257,1060.06,
hostRW,cudaMallocHost,1,2.90465,7.1743,
hostRW,cudaMallocHost,8,38.5496,128.22,
hostRW,cudaMallocHost,64,345.607,633.059,
hostRW,cudaMallocHost,512,1970.42,6625.64,
hostRW,cudaMallocHost,4096,6369.8,26643.2,
hostRW,cudaMallocHost,32768,5777.3,19368.2,
hostRW,cudaMallocHost,262144,5537.18,17730.6,
hostRW,cudaMallocHost,2097152,6887.08,5472.09,
hostRW,cudaMallocHost,16777216,6723.67,7141.34,
hostRW,cudaMallocHost,134217728,1791.88,4069.96,
hostRW,cudaMallocHost,1073741824,1875.84,4369.39,
hostRW,cudaMallocManaged,1,0.00817469,2.82279,
hostRW,cudaMallocManaged,8,0.0918642,25.9854,
hostRW,cudaMallocManaged,64,0.74625,198.911,
hostRW,cudaMallocManaged,512,5.90714,1636.3,
hostRW,cudaMallocManaged,4096,48.2918,11497.4,
hostRW,cudaMallocManaged,32768,366.104,10447.1,
hostRW,cudaMallocManaged,262144,1928.08,10240.7,
hostRW,cudaMallocManaged,2097152,4120.58,4157.58,
hostRW,cudaMallocManaged,16777216,3972.4,4673.09,
hostRW,cudaMallocManaged,134217728,1572.55,3011.64,
hostRW,cudaMallocManaged,1073741824,1592.15,3149.13,
hostRW,cudaHostRegister,1,18.1193,26.1196,
hostRW,cudaHostRegister,8,263.468,269.837,
hostRW,cudaHostRegister,64,1599.12,2082.54,
hostRW,cudaHostRegister,512,7317.09,10833,
hostRW,cudaHostRegister,4096,24524.4,55824.6,
hostRW,cudaHostRegister,32768,28904.2,44816.8,
hostRW,cudaHostRegister,262144,29454.1,38478.4,
hostRW,cudaHostRegister,2097152,11157.6,9178.61,
hostRW,cudaHostRegister,16777216,2082.77,9401.38,
hostRW,cudaHostRegister,134217728,2027.9,4618.78,
hostRW,cudaHostRegister,1073741824,2048,4772.38,
