Group,Experiment,Problem Space,*RW(MB/s) Mean,*W(MB/s) Mean,*R(MB/s) Mean,
hostRW,cudaMalloc,16,3.70493,1.87461,1.81732,
hostRW,cudaMalloc,128,29.7658,15.1503,14.623,
hostRW,cudaMalloc,1024,238.581,121.629,122.52,
hostRW,cudaMalloc,8192,1873.21,921.541,832.232,
hostRW,cudaMalloc,65536,14851,7328.4,7420.63,
hostRW,cudaMalloc,524288,113884,58929.5,57938.3,
hostRW,cudaMalloc,4194304,820822,419858,406780,
hostRW,cudaMalloc,33554432,3.24701e+06,2.02973e+06,1.29391e+06,
hostRW,cudaMalloc,268435456,3.5372e+06,3.72851e+06,1.28441e+06,
hostRW,cudaMalloc,2147483648,3.45389e+06,4.04354e+06,1.4755e+06,
hostRW,cudaMallocHost,16,2.9009,1.51578,1.45344,
hostRW,cudaMallocHost,128,23.5492,12.7283,12.0338,
hostRW,cudaMallocHost,1024,186.384,100.315,90.2396,
hostRW,cudaMallocHost,8192,1497.81,775.353,726.531,
hostRW,cudaMallocHost,65536,10310.9,5586.42,5280.6,
hostRW,cudaMallocHost,524288,35894.3,25546.4,23693.4,
hostRW,cudaMallocHost,4194304,56117.7,37500.6,36905.4,
hostRW,cudaMallocHost,33554432,63720.6,51859.8,40456.9,
hostRW,cudaMallocHost,268435456,65035.7,52653.3,40217.9,
hostRW,cudaMallocHost,2147483648,63614.3,52420.2,39811.8,
hostRW,cudaMallocManaged,16,3.6234,0.19711,1.8123,
hostRW,cudaMallocManaged,128,29.9233,2.273,14.5273,
hostRW,cudaMallocManaged,1024,221.583,17.8414,119.549,
hostRW,cudaMallocManaged,8192,1870.33,142.545,919.807,
hostRW,cudaMallocManaged,65536,14497,967.587,7231.38,
hostRW,cudaMallocManaged,524288,112387,3476.82,58414,
hostRW,cudaMallocManaged,4194304,829071,7789.79,409025,
hostRW,cudaMallocManaged,33554432,3.22551e+06,10796.8,1.3464e+06,
hostRW,cudaMallocManaged,268435456,3.52422e+06,10993.9,1.3108e+06,
hostRW,cudaMallocManaged,2147483648,3.62087e+06,12906.9,1.47974e+06,
hostRW,cudaHostRegister,16,2.91163,1.51541,1.45759,
hostRW,cudaHostRegister,128,23.5652,12.1177,11.5362,
hostRW,cudaHostRegister,1024,188.81,96.1049,95.3325,
hostRW,cudaHostRegister,8192,1449.6,749.095,734.766,
hostRW,cudaHostRegister,65536,10607.3,5494.6,5372.79,
hostRW,cudaHostRegister,524288,35377.8,24833.3,23545.1,
hostRW,cudaHostRegister,4194304,50705.1,41705.1,36070.4,
hostRW,cudaHostRegister,33554432,54686.6,43647.3,38496.5,
hostRW,cudaHostRegister,268435456,54928.6,43193.2,38583.6,
hostRW,cudaHostRegister,2147483648,53239.3,42695,38217.2,
