Group,Experiment,Problem Space,tunreg Mean,*Bunreg Mean,treg Mean,*Breg Mean,
hostReg,muHostReg,1,0.0526297,0.019043,0.142931,0.00701678,
hostReg,muHostReg,2,0.051563,0.0388207,0.135888,0.0147216,
hostReg,muHostReg,4,0.050408,0.0793622,0.135144,0.0296006,
hostReg,muHostReg,8,0.050721,0.157744,0.134811,0.0593447,
hostReg,muHostReg,16,0.050374,0.317675,0.134447,0.11901,
hostReg,muHostReg,32,0.050168,0.637872,0.134331,0.238225,
hostReg,muHostReg,64,0.05143,1.24452,0.135146,0.473577,
hostReg,muHostReg,128,0.049885,2.56611,0.133928,0.95575,
hostReg,muHostReg,256,0.050297,5.0898,0.134475,1.90372,
hostReg,muHostReg,512,0.0512483,9.99366,0.142207,3.61568,
hostReg,muHostReg,1024,0.050657,20.2155,0.135217,7.57438,
hostReg,muHostReg,2048,0.0529927,38.7113,0.139239,14.715,
hostReg,muHostReg,4096,0.0717927,57.0581,0.220887,18.5435,
hostReg,muHostReg,8192,0.092198,88.8547,0.307036,26.6811,
hostReg,muHostReg,16384,0.092686,176.788,0.306438,53.4711,
hostReg,muHostReg,32768,0.091966,356.435,0.310251,105.872,
hostReg,muHostReg,65536,0.0902453,726.235,0.301982,217.04,
hostReg,muHostReg,131072,0.10304,1272.05,0.319327,410.471,
hostReg,muHostReg,262144,0.106484,2462.14,0.328371,798.32,
hostReg,muHostReg,524288,0.113279,4628.96,0.341143,1536.91,
hostReg,muHostReg,1048576,0.128165,8181.83,0.372656,2816.89,
hostReg,muHostReg,2097152,0.17005,12410.2,0.445237,4715.72,
hostReg,muHostReg,4194304,0.224284,18701.8,0.634483,6616.46,
hostReg,muHostReg,8388608,0.349236,24020.8,0.960716,8751.74,
hostReg,muHostReg,16777216,0.640667,26227.4,1.79622,9352.31,
hostReg,muHostReg,33554432,1.3195,25438,3.67024,9148.63,
hostReg,muHostReg,67108864,3.01615,22409.8,5.54029,12169.7,
hostReg,muHostReg,134217728,5.44101,24685.4,11.7621,11666.9,
hostReg,muHostReg,268435456,8.32998,33314.6,19.5703,14302.1,
hostReg,muHostReg,536870912,13.9663,38444.2,31.1446,17449.6,
hostReg,muHostReg,1073741824,28.6863,37466.9,52.9357,20334.3,
hostReg,muHostReg,2147483648,56.5511,37974.3,106.895,20165.6,
hostReg,muHostReg,4294967296,163.492,30100.5,215.08,20610.3,
