Group,Experiment,Problem Space,tfree Mean,*Mfree Mean,tmall Mean,*Bmall Mean,
musa_malloc,normal_mem,1,0.126491,0.00791684,0.131685,0.00761943,
musa_malloc,normal_mem,2,0.123959,0.016135,0.126567,0.0158045,
musa_malloc,normal_mem,4,0.122766,0.0325826,0.125359,0.03191,
musa_malloc,normal_mem,8,0.123201,0.064936,0.125085,0.0639586,
musa_malloc,normal_mem,16,0.122479,0.130635,0.125448,0.127564,
musa_malloc,normal_mem,32,0.121583,0.263205,0.124438,0.257174,
musa_malloc,normal_mem,64,0.122166,0.52389,0.124854,0.512607,
musa_malloc,normal_mem,128,0.122243,1.0473,0.125875,1.01748,
musa_malloc,normal_mem,256,0.123134,2.07905,0.125579,2.0387,
musa_malloc,normal_mem,512,0.122264,4.18779,0.124704,4.10592,
musa_malloc,normal_mem,1024,0.122909,8.332,0.126761,8.08061,
musa_malloc,normal_mem,2048,0.122337,16.7421,0.125547,16.3175,
musa_malloc,normal_mem,4096,0.123367,33.2029,0.125026,32.7672,
musa_malloc,normal_mem,8192,0.122201,67.0377,0.124029,66.0556,
musa_malloc,normal_mem,16384,0.122009,134.287,0.125175,130.899,
musa_malloc,normal_mem,32768,0.121662,269.358,0.1256,261.096,
musa_malloc,normal_mem,65536,0.122153,536.569,0.124448,526.659,
musa_malloc,normal_mem,131072,0.122077,1073.8,0.125915,1041.34,
musa_malloc,normal_mem,262144,0.122637,2137.74,0.125133,2095.48,
musa_malloc,normal_mem,524288,0.122088,4294.79,0.124861,4199.71,
musa_malloc,normal_mem,1048576,0.123782,8472.28,0.126315,8303.22,
musa_malloc,normal_mem,2097152,0.123365,17000.1,0.12529,16739.5,
musa_malloc,normal_mem,4194304,0.123398,33996.2,0.125601,33398.4,
musa_malloc,normal_mem,8388608,0.126937,66095.6,0.126531,66315.9,
musa_malloc,normal_mem,16777216,0.133514,125729,0.13068,128540,
musa_malloc,normal_mem,33554432,0.130946,257930,0.129456,266224,
musa_malloc,normal_mem,67108864,0.137724,487294,0.113777,590025,
musa_malloc,normal_mem,134217728,0.181693,738917,0.142203,944907,
musa_malloc,normal_mem,268435456,0.241235,1.1128e+06,0.142659,1.88235e+06,
musa_malloc,normal_mem,536870912,0.550144,992145,0.312737,1.73256e+06,
musa_malloc,normal_mem,1073741824,0.719978,1.50423e+06,0.755254,1.76359e+06,
musa_malloc,normal_mem,2147483648,1.58408,1.43467e+06,0.966505,2.22193e+06,
musa_malloc,normal_mem,4294967296,2.24399,1.9855e+06,0.982306,4.37235e+06,
musa_malloc,pinned_mem,1,0.339591,0.00294559,1.73668,0.000576069,
musa_malloc,pinned_mem,2,0.320005,0.00625005,1.07432,0.00220493,
musa_malloc,pinned_mem,4,0.292646,0.0136685,1.1011,0.00424779,
musa_malloc,pinned_mem,8,0.288209,0.0277681,0.760805,0.0105154,
musa_malloc,pinned_mem,16,0.278791,0.0573914,0.76268,0.0209845,
musa_malloc,pinned_mem,32,0.275738,0.11612,0.774041,0.0413427,
musa_malloc,pinned_mem,64,0.276009,0.231979,0.782494,0.0817918,
musa_malloc,pinned_mem,128,0.266712,0.480127,0.792125,0.161622,
musa_malloc,pinned_mem,256,0.259478,0.986662,0.79406,0.322399,
musa_malloc,pinned_mem,512,0.258069,1.98403,0.796733,0.642652,
musa_malloc,pinned_mem,1024,0.258295,3.96451,0.791752,1.29338,
musa_malloc,pinned_mem,2048,0.258497,7.9229,0.793791,2.58007,
musa_malloc,pinned_mem,4096,0.260004,15.7538,0.793351,5.16307,
musa_malloc,pinned_mem,8192,0.276565,29.8609,0.794439,10.3117,
musa_malloc,pinned_mem,16384,0.257885,63.5334,0.79449,20.6226,
musa_malloc,pinned_mem,32768,0.258477,126.777,0.780118,42.0165,
musa_malloc,pinned_mem,65536,0.258355,253.671,0.794019,82.5375,
musa_malloc,pinned_mem,131072,0.259915,504.302,0.588492,222.73,
musa_malloc,pinned_mem,262144,0.258788,1012.97,0.583848,449.017,
musa_malloc,pinned_mem,524288,0.258197,2030.72,0.583104,899.206,
musa_malloc,pinned_mem,1048576,0.258386,4058.36,0.58704,1786.31,
musa_malloc,pinned_mem,2097152,0.270433,7791.34,0.583643,3593.25,
musa_malloc,pinned_mem,4194304,0.468024,8961.94,1.19078,3529.57,
musa_malloc,pinned_mem,8388608,0.873337,9605.27,2.37313,3538.92,
musa_malloc,pinned_mem,16777216,1.78454,9401.48,4.77849,3512.06,
musa_malloc,pinned_mem,33554432,3.55283,9444.52,9.82124,3416.59,
musa_malloc,pinned_mem,67108864,7.1047,9446.37,18.6736,3594.8,
musa_malloc,pinned_mem,134217728,14.3355,9363.08,39.3322,3412.88,
musa_malloc,pinned_mem,268435456,28.2381,9506.2,81.9442,3275.85,
musa_malloc,pinned_mem,536870912,56.3605,9525.67,166.155,3231.15,
musa_malloc,pinned_mem,1073741824,112.759,9522.45,332.61,3228.24,
musa_malloc,pinned_mem,2147483648,257.84,8425.15,666.004,3224.44,
musa_malloc,pinned_mem,4294967296,472.787,9111.77,1337.32,3212.16,
