Group,Experiment,Problem Space,*D3D8 Mean,*D2D8 Mean,*D1D8 Mean,
memSet,setVal,1,0.0991987,48.0251,0.0732248,
memSet,setVal,2,0.200422,53.2862,0.206552,
memSet,setVal,4,0.425881,55.2418,0.406683,
memSet,setVal,8,0.848096,52.2652,0.805248,
memSet,setVal,16,1.6653,502.231,1.6104,
memSet,setVal,32,3.38519,655.874,3.32971,
memSet,setVal,64,6.74696,636.943,6.6642,
memSet,setVal,128,10.8383,642.65,13.0329,
memSet,setVal,256,20.4262,678.405,26.1314,
memSet,setVal,512,44.4581,704.952,48.1676,
memSet,setVal,1024,85.8728,676.151,91.7945,
memSet,setVal,2048,168.649,656.764,199.66,
memSet,setVal,4096,329.775,675.524,347.241,
memSet,setVal,8192,643.396,656.545,687.054,
memSet,setVal,16384,1385.15,1311.88,1327.02,
memSet,setVal,32768,2519.2,2804.82,2730.24,
memSet,setVal,65536,5445.92,5121.59,5452.69,
memSet,setVal,131072,10493.8,10865.6,10494.6,
memSet,setVal,262144,21357.9,21205.5,21524.5,
memSet,setVal,524288,42830.1,43649.2,40142.3,
memSet,setVal,1048576,81750.3,85632.7,83760.1,
memSet,setVal,2097152,169482,165888,154808,
memSet,setVal,4194304,292848,328044,311839,
memSet,setVal,8388608,627576,570939,567800,
memSet,setVal,16777216,948768,1.03125e+06,974990,
memSet,setVal,33554432,1.46537e+06,1.57649e+06,1.58799e+06,
memSet,setVal,67108864,2.25739e+06,2.2982e+06,2.2118e+06,
memSet,setVal,134217728,2.47427e+06,2.88216e+06,2.86072e+06,
memSet,setVal,268435456,2.72851e+06,3.25949e+06,3.2242e+06,
memSet,setVal,536870912,2.8859e+06,3.49525e+06,3.49651e+06,
memSet,setVal,1073741824,3.01803e+06,3.70721e+06,3.6943e+06,
memSet,setVal,2147483648,3.0919e+06,3.80258e+06,3.79363e+06,
memSet,setVal,4294967296,3.13779e+06,3.849e+06,3.84489e+06,
