Group,Experiment,Problem Space,*TP(s^-1) Mean,tAll(ms) Mean,tAll(ms) Min,tAll(ms) Max,tPer(us) Mean,LaunchCnt Mean,
mulStreams,nullkernel,1,224208,0.146253,0.084672,0.169248,4.5704,32,
mulStreams,nullkernel,2,150244,0.220746,0.129568,0.303808,6.89833,32,
mulStreams,nullkernel,3,156966,0.242012,0.121344,0.621056,7.56287,32,
mulStreams,nullkernel,4,134814,0.258196,0.143264,0.719648,8.06864,32,
mulStreams,nullkernel,5,140452,0.269133,0.123584,0.562848,8.4104,32,
mulStreams,nullkernel,6,126501,0.285796,0.12384,0.657856,8.93112,32,
mulStreams,nullkernel,7,147735,0.254929,0.122624,0.593824,7.96654,32,
mulStreams,nullkernel,8,122490,0.293798,0.136096,0.759616,9.18119,32,
mulStreams,nullkernel,9,147159,0.24903,0.12256,0.6408,7.78217,32,
mulStreams,nullkernel,10,132131,0.278358,0.124768,0.805792,8.69868,32,
mulStreams,nullkernel,11,142437,0.258677,0.124288,0.711072,8.08365,32,
mulStreams,nullkernel,12,125761,0.293396,0.136416,0.736832,9.16862,32,
mulStreams,nullkernel,13,128200,0.299106,0.124992,0.769856,9.34705,32,
mulStreams,nullkernel,14,129995,0.287819,0.124512,0.691232,8.99435,32,
mulStreams,nullkernel,15,132380,0.284486,0.124736,0.775008,8.89019,32,
mulStreams,nullkernel,16,137910,0.27487,0.123552,0.69808,8.58967,32,
mulStreams,nullAndRecord,1,148632,0.222379,0.156352,0.24976,6.94935,32,
mulStreams,nullAndRecord,2,94885.7,0.344066,0.240352,0.427072,10.7521,32,
mulStreams,nullAndRecord,3,92866.9,0.385785,0.220352,0.754208,12.0558,32,
mulStreams,nullAndRecord,4,82553.2,0.421108,0.236224,0.704416,13.1596,32,
mulStreams,nullAndRecord,5,82360.9,0.441658,0.221984,0.796416,13.8018,32,
mulStreams,nullAndRecord,6,75736.1,0.460766,0.225408,0.825152,14.3989,32,
mulStreams,nullAndRecord,7,76322.7,0.469893,0.224288,0.825888,14.6842,32,
mulStreams,nullAndRecord,8,70947.2,0.487983,0.223104,0.845632,15.2495,32,
mulStreams,nullAndRecord,9,76113.2,0.460694,0.220736,0.998496,14.3967,32,
mulStreams,nullAndRecord,10,72055,0.480028,0.238784,0.92336,15.0009,32,
mulStreams,nullAndRecord,11,73263.7,0.479699,0.236256,0.836992,14.9906,32,
mulStreams,nullAndRecord,12,71434.4,0.486359,0.23632,1.05472,15.1987,32,
mulStreams,nullAndRecord,13,69938.1,0.5062,0.237248,0.933696,15.8188,32,
mulStreams,nullAndRecord,14,69248.7,0.498605,0.237344,0.92944,15.5814,32,
mulStreams,nullAndRecord,15,71569.3,0.490222,0.226656,1.0617,15.3194,32,
mulStreams,nullAndRecord,16,68417.4,0.502302,0.237984,0.956576,15.6969,32,
