Group,Experiment,Problem Space,*DstID:6 Mean,*DstID:5 Mean,*DstID:4 Mean,*DstID:3 Mean,*DstID:2 Mean,*DstID:7 Mean,*DstID:1 Mean,*DstID:0 Mean,
memCopy,P2P_1B,0,0.0362169,0.0370204,0.0362907,0.0364389,0.0354212,0.0385791,0.0348447,-1,
memCopy,P2P_1B,1,0.0412374,0.0407989,0.0418423,0.0400453,0.0398197,0.0402894,-1,0.0401406,
memCopy,P2P_1B,2,0.0411881,0.0408731,0.0414226,0.0400977,-1,0.0373321,0.0430088,0.0407058,
memCopy,P2P_1B,3,0.0426903,0.0415145,0.0427506,-1,0.0438068,0.0404966,0.0421415,0.0422572,
memCopy,P2P_1B,4,0.0444178,0.0438049,-1,0.0460583,0.0447233,0.0437594,0.0457364,0.044372,
memCopy,P2P_1B,5,0.0439059,-1,0.0485215,0.0468381,0.0460339,0.0439412,0.0465229,0.0436625,
memCopy,P2P_1B,6,-1,0.0480852,0.0459458,0.0464909,0.0464418,0.0441436,0.0471902,0.0441044,
memCopy,P2P_1B,7,0.0513901,0.0480227,0.0506412,0.0480273,0.0484471,-1,0.0497266,0.0469194,
memCopy,P2P_4B,0,0.158578,0.164934,0.1627,0.14983,0.155189,0.152197,0.15422,-1,
memCopy,P2P_4B,1,0.172014,0.177591,0.177777,0.172931,0.169694,0.170213,-1,0.164262,
memCopy,P2P_4B,2,0.175676,0.177313,0.177598,0.170166,-1,0.17281,0.166812,0.164453,
memCopy,P2P_4B,3,0.181609,0.189268,0.176916,-1,0.171262,0.175688,0.171393,0.17113,
memCopy,P2P_4B,4,0.191081,0.191129,-1,0.186863,0.177785,0.188628,0.185552,0.169105,
memCopy,P2P_4B,5,0.19226,-1,0.193197,0.199322,0.184959,0.191629,0.181415,0.17265,
memCopy,P2P_4B,6,-1,0.190198,0.188766,0.185939,0.185993,0.187451,0.188343,0.176188,
memCopy,P2P_4B,7,0.200232,0.205523,0.202625,0.19764,0.194596,-1,0.19801,0.18357,
memCopy,P2P_16B,0,0.693981,0.711079,0.705376,0.696056,0.673004,0.683535,0.650014,-1,
memCopy,P2P_16B,1,0.77067,0.716038,0.713709,0.695472,0.670661,0.69491,-1,0.648711,
memCopy,P2P_16B,2,0.68715,0.682953,0.76347,0.6881,-1,0.674284,0.693437,0.650884,
memCopy,P2P_16B,3,0.698438,0.72183,0.733947,-1,0.695095,0.691368,0.693111,0.663935,
memCopy,P2P_16B,4,0.741383,0.768021,-1,0.743748,0.707999,0.7447,0.749379,0.7044,
memCopy,P2P_16B,5,0.765861,-1,0.762915,0.799164,0.721913,0.766392,0.755928,0.701878,
memCopy,P2P_16B,6,-1,0.771073,0.766334,0.74492,0.696422,0.766747,0.753457,0.692812,
memCopy,P2P_16B,7,0.802411,0.81733,0.814271,0.770518,0.763543,-1,0.793239,0.750795,
memCopy,P2P_64B,0,2.74702,2.85024,2.79396,2.75477,2.64326,2.77844,2.66792,-1,
memCopy,P2P_64B,1,2.74949,2.82753,2.78847,2.73642,2.74186,2.76518,-1,2.66851,
memCopy,P2P_64B,2,2.82075,2.81283,2.83923,2.7295,-1,2.70245,2.72006,2.55507,
memCopy,P2P_64B,3,2.88108,2.91513,2.86939,-1,2.66505,2.80327,2.82366,2.72823,
memCopy,P2P_64B,4,2.74217,2.78058,-1,2.83073,2.65429,2.75376,2.69773,2.58771,
memCopy,P2P_64B,5,3.02426,-1,3.13548,2.93477,2.95274,2.96163,2.89275,2.78431,
memCopy,P2P_64B,6,-1,3.01017,3.05845,2.89084,2.92396,3.04896,3.01153,2.78286,
memCopy,P2P_64B,7,3.70435,3.71007,3.82296,3.64084,3.63107,-1,3.82738,3.41776,
memCopy,P2P_256B,0,15.1855,15.5536,15.5328,15.3106,15.0657,15.4352,14.697,-1,
memCopy,P2P_256B,1,16.1999,16.2474,16.171,15.4885,15.4942,16.0138,-1,15.4196,
memCopy,P2P_256B,2,15.7009,16.1126,15.7097,15.9686,-1,17.3704,16.1399,15.2708,
memCopy,P2P_256B,3,16.1876,16.124,16.1249,-1,16.2706,15.794,16.2352,15.5741,
memCopy,P2P_256B,4,16.5349,16.4171,-1,16.555,16.2579,16.4985,16.558,15.7289,
memCopy,P2P_256B,5,16.9338,-1,16.6705,16.7394,16.5144,17.0803,16.7735,15.9787,
memCopy,P2P_256B,6,-1,16.8873,17.0987,16.8063,16.6832,16.9794,16.6568,15.6865,
memCopy,P2P_256B,7,18.0799,17.7691,17.7709,17.4815,17.5576,-1,17.7878,16.9327,
memCopy,P2P_1K,0,64.6149,63.986,64.0224,62.5998,61.5168,63.7808,61.2839,-1,
memCopy,P2P_1K,1,63.5327,63.6291,64.4376,62.6238,62.8423,63.7452,-1,60.1635,
memCopy,P2P_1K,2,64.5443,63.8671,64.4929,63.2348,-1,63.4957,63.7818,60.7696,
memCopy,P2P_1K,3,64.9529,65.3856,65.2266,-1,64.6814,64.768,65.2514,61.3225,
memCopy,P2P_1K,4,67.2646,67.1382,-1,66.3997,65.8472,65.2711,66.4025,62.483,
memCopy,P2P_1K,5,67.6672,-1,69.2427,67.4787,67.4697,67.9308,67.25,63.6251,
memCopy,P2P_1K,6,-1,67.5551,68.018,66.1007,66.5678,67.232,67.2097,63.9385,
memCopy,P2P_1K,7,70.9864,72.5406,72.0224,71.1872,77.5927,-1,71.3676,67.842,
memCopy,P2P_4K,0,251.324,251.798,254.947,250.743,251.423,254.274,242.098,-1,
memCopy,P2P_4K,1,256.421,253.681,254.37,250.946,249.685,254.318,-1,242.627,
memCopy,P2P_4K,2,255.433,254.285,256.144,248.084,-1,252.841,253.164,234.916,
memCopy,P2P_4K,3,257.973,252.313,260.364,-1,257.886,256.564,254.455,246.481,
memCopy,P2P_4K,4,265.408,265.46,-1,261.803,258.715,263.569,263.992,252.098,
memCopy,P2P_4K,5,271.193,-1,277.139,270.336,268.237,272.404,266.867,252.765,
memCopy,P2P_4K,6,-1,270.613,272.443,270.534,268.705,265.088,267.284,254.651,
memCopy,P2P_4K,7,284.111,285.955,287.563,282.579,276.682,-1,283.945,265.005,
memCopy,P2P_16K,0,1005.45,1003.2,1004.78,989.466,983.878,948.201,959.933,-1,
memCopy,P2P_16K,1,1092.35,1082.12,1094.33,1068.9,1066.98,1043.17,-1,1044.29,
memCopy,P2P_16K,2,1087.41,1078.25,1092.28,1080.54,-1,1034.37,1079.53,1033.99,
memCopy,P2P_16K,3,1098.64,1102.28,1104.89,-1,1102.26,1047.28,1098.59,1044.69,
memCopy,P2P_16K,4,1139.25,1125.89,-1,1120.28,1121.34,1079.32,1115.6,1060.8,
memCopy,P2P_16K,5,1143.49,-1,1171.58,1123.41,1130.72,1104.77,1143.13,1078.69,
memCopy,P2P_16K,6,-1,1094.64,1161.61,1139.18,1126.79,1075.85,1139.73,1094.49,
memCopy,P2P_16K,7,1065.19,1122.44,1141.79,1121.3,1116.04,-1,1117.78,1043.01,
memCopy,P2P_64K,0,4282.14,4343.78,4278.91,4234.56,4185.03,4315.26,3780.46,-1,
memCopy,P2P_64K,1,4259.35,4263.37,4369.31,4283.74,4224.36,4303.91,-1,4038.97,
memCopy,P2P_64K,2,4310.26,4339.56,4342.19,4201.28,-1,4288.73,4317.46,3983.89,
memCopy,P2P_64K,3,4395.26,4413.88,4314.41,-1,4403.37,4353.88,4345.8,4123.25,
memCopy,P2P_64K,4,4522.42,4531.85,-1,4510,4467.19,4513.72,4462.79,4237.26,
memCopy,P2P_64K,5,4595.82,-1,4700.72,4527.9,4501.85,4574.55,4439.97,4257.86,
memCopy,P2P_64K,6,-1,4563.13,4578.04,4498.04,4485.83,4539.95,4549.59,4202.95,
memCopy,P2P_64K,7,4838.52,4867.34,4863.61,4756.22,4784.91,-1,4748.19,4456.55,
memCopy,P2P_246K,0,16575.7,16726.9,16755.6,16538.3,16129.4,16584,15907.7,-1,
memCopy,P2P_246K,1,16842,16744.1,16792.4,16436,15994.7,16726.6,-1,15980.7,
memCopy,P2P_246K,2,16419.2,16717.3,16311.6,16434.3,-1,16590.7,16487.1,15676.9,
memCopy,P2P_246K,3,16868.4,16834.9,16905,-1,16473.9,16568.9,16749.5,15737.8,
memCopy,P2P_246K,4,17348.2,17253.7,-1,16965.6,17040.9,17373.8,17052.6,16228.7,
memCopy,P2P_246K,5,17578.1,-1,17713.2,17494.6,17222.9,17749.8,17321,16463.2,
memCopy,P2P_246K,6,-1,17555.1,17625.7,17208.7,17250.5,17492.3,16856.2,16408.2,
memCopy,P2P_246K,7,18493.9,18171.3,18590,18079.9,18182.1,-1,18135.1,17262,
memCopy,P2P_1M,0,59183.7,58896.3,59155.3,58132.5,57649.5,59202.6,55974.2,-1,
memCopy,P2P_1M,1,59337,58512.5,59290.9,58582.9,57542,59146.8,-1,57322.7,
memCopy,P2P_1M,2,58852.3,59221.5,58659.2,58280.4,-1,58868.4,57706.5,56336.2,
memCopy,P2P_1M,3,59625.9,59486.8,59885.4,-1,59299.8,59594.9,58495.5,56682.9,
memCopy,P2P_1M,4,61200.8,61106.8,-1,60253,59650.3,57465.9,60336,58041.7,
memCopy,P2P_1M,5,61874.6,-1,63074.7,61411,61215.3,61801.3,61455.5,57620.8,
memCopy,P2P_1M,6,-1,60563.7,62320.8,60548.1,60952.4,61680.9,60764.7,58858.8,
memCopy,P2P_1M,7,64094.3,64637,65046.1,64106.5,63654.4,-1,63935.4,61008,
memCopy,P2P_4M,0,164557,164232,164406,162357,160219,162306,158710,-1,
memCopy,P2P_4M,1,164268,164417,164116,162370,161768,161998,-1,159393,
memCopy,P2P_4M,2,163571,161493,163713,159595,-1,161342,162200,158165,
memCopy,P2P_4M,3,165102,162985,164004,-1,164632,164973,164440,159127,
memCopy,P2P_4M,4,167808,166973,-1,166078,164128,166143,166494,162804,
memCopy,P2P_4M,5,169404,-1,171501,168131,165648,169081,167946,162478,
memCopy,P2P_4M,6,-1,169069,170131,167358,166642,166764,166098,163004,
memCopy,P2P_4M,7,174355,174732,174299,172824,171670,-1,173203,168433,
memCopy,P2P_16M,0,287101,288489,288739,285533,285405,287601,283297,-1,
memCopy,P2P_16M,1,286973,287297,287159,284281,285606,287020,-1,284659,
memCopy,P2P_16M,2,286910,286069,286834,285985,-1,285313,284959,281657,
memCopy,P2P_16M,3,287656,287918,287254,-1,288068,287542,285742,282749,
memCopy,P2P_16M,4,288217,289914,-1,282987,288144,290202,288872,284328,
memCopy,P2P_16M,5,290006,-1,286383,290315,289462,291094,288269,284436,
memCopy,P2P_16M,6,-1,290491,290661,290215,289583,290076,288434,285317,
memCopy,P2P_16M,7,295018,295479,294178,295217,295780,-1,293475,291050,
memCopy,P2P_64M,0,355336,356884,355790,356482,355832,356217,355025,-1,
memCopy,P2P_64M,1,355620,356811,356888,354914,355631,356385,-1,355580,
memCopy,P2P_64M,2,356105,356227,356445,355487,-1,356612,355825,354462,
memCopy,P2P_64M,3,356716,357527,356427,-1,357728,356948,356442,356034,
memCopy,P2P_64M,4,357269,356660,-1,356548,357151,357017,356253,355196,
memCopy,P2P_64M,5,356958,-1,359566,358574,358042,358204,357015,354123,
memCopy,P2P_64M,6,-1,353256,353749,353837,352401,353687,352433,351243,
memCopy,P2P_64M,7,359423,358474,358472,358423,357939,-1,357957,355878,
memCopy,P2P_256M,0,386953,386958,387061,387039,386412,387015,386425,-1,
memCopy,P2P_256M,1,386889,387207,387252,386895,386903,386173,-1,386352,
memCopy,P2P_256M,2,387150,387250,387505,387012,-1,387447,387169,386419,
memCopy,P2P_256M,3,387213,387093,387357,-1,386994,387199,387391,386556,
memCopy,P2P_256M,4,387640,387549,-1,387727,387321,387477,387337,386817,
memCopy,P2P_256M,5,387837,-1,387669,387512,387425,387509,387301,387162,
memCopy,P2P_256M,6,-1,387711,387687,387715,387416,387808,387399,387106,
memCopy,P2P_256M,7,387544,387761,387902,387393,387535,-1,387503,386964,
memCopy,P2P_1G,0,381203,381174,381322,382441,382298,380911,382058,-1,
memCopy,P2P_1G,1,380864,380922,380969,380736,380795,381147,-1,380804,
memCopy,P2P_1G,2,381278,381090,381067,380783,-1,381174,382474,379911,
memCopy,P2P_1G,3,380746,380978,380887,-1,382551,381008,381060,379490,
memCopy,P2P_1G,4,381141,380789,-1,381999,380715,380753,381113,380257,
memCopy,P2P_1G,5,381392,-1,380890,381041,381282,381415,381020,381142,
memCopy,P2P_1G,6,-1,381107,381288,380896,380743,380913,380964,381182,
memCopy,P2P_1G,7,381278,381192,380918,381175,381379,-1,380871,380657,
