Group,Experiment,Problem Space,time Mean,*band Mean,
memCopy,P2P_IJK,4,0.0353463,0.165127,
memCopy,P2P_IJK,8,0.0209698,0.382394,
memCopy,P2P_IJK,16,0.0209977,0.763124,
memCopy,P2P_IJK,32,0.0207908,1.54194,
memCopy,P2P_IJK,64,0.020355,3.14649,
memCopy,P2P_IJK,128,0.0204449,6.26617,
memCopy,P2P_IJK,256,0.0204318,12.5357,
memCopy,P2P_IJK,512,0.0306941,23.3054,
memCopy,P2P_IJK,1024,0.0312668,46.4799,
memCopy,P2P_IJK,2048,0.0318183,92.5115,
memCopy,P2P_IJK,4096,0.0326627,182.248,
memCopy,P2P_IJK,8192,0.0353523,354.868,
memCopy,P2P_IJK,16384,0.0207863,788.648,
memCopy,P2P_IJK,32768,0.0210368,1561.62,
memCopy,P2P_IJK,65536,0.0213897,3072.46,
memCopy,P2P_IJK,131072,0.0216832,6049.12,
memCopy,P2P_IJK,262144,0.0217771,12044,
memCopy,P2P_IJK,524288,0.0221882,23649.6,
memCopy,P2P_IJK,1048576,0.0235567,44533.9,
memCopy,P2P_IJK,2097152,0.0260876,80415.5,
memCopy,P2P_IJK,4194304,0.0317137,132320,
memCopy,P2P_IJK,8388608,0.0421609,198990,
memCopy,P2P_IJK,16777216,0.0632535,265307,
memCopy,P2P_IJK,33554432,0.108457,309406,
memCopy,P2P_IJK,67108864,0.192759,348154,
memCopy,P2P_IJK,134217728,0.361717,371059,
memCopy,P2P_IJK,268435456,0.700783,383052,
memCopy,P2P_IJK,536870912,1.38063,388860,
memCopy,P2P_IJK,1073741824,2.73207,393014,
