Group,Experiment,Problem Space,*D3D8 Mean,*D2D8 Mean,*D1D8 Mean,
CrossDeviceMemSet,setVal,1,0.13333,66.8746,0.106881,
CrossDeviceMemSet,setVal,2,0.281523,70.8545,0.224027,
CrossDeviceMemSet,setVal,4,0.576044,72.5537,0.460881,
CrossDeviceMemSet,setVal,8,1.16499,74.3113,0.935955,
CrossDeviceMemSet,setVal,16,2.3221,787.468,1.88403,
CrossDeviceMemSet,setVal,32,4.73849,814.937,3.85592,
CrossDeviceMemSet,setVal,64,9.35933,822.433,7.64526,
CrossDeviceMemSet,setVal,128,13.7725,837.838,15.3564,
CrossDeviceMemSet,setVal,256,27.9767,837.159,30.6158,
CrossDeviceMemSet,setVal,512,55.6306,833.701,60.6547,
CrossDeviceMemSet,setVal,1024,106.612,818.084,118.749,
CrossDeviceMemSet,setVal,2048,211.877,819.064,229.964,
CrossDeviceMemSet,setVal,4096,422.856,813.655,441.995,
CrossDeviceMemSet,setVal,8192,863.129,885.523,726.68,
CrossDeviceMemSet,setVal,16384,1761.62,1780.94,1484.61,
CrossDeviceMemSet,setVal,32768,3510.23,3567.14,2972.81,
CrossDeviceMemSet,setVal,65536,6959.42,7086.41,5885.29,
CrossDeviceMemSet,setVal,131072,13805.3,13807,11521,
CrossDeviceMemSet,setVal,262144,26236.6,26662.6,22391,
CrossDeviceMemSet,setVal,524288,49521.6,49681.2,41837.9,
CrossDeviceMemSet,setVal,1048576,85164.3,86010.9,74641.6,
CrossDeviceMemSet,setVal,2097152,139830,141021,123704,
CrossDeviceMemSet,setVal,4194304,198070,205754,184835,
CrossDeviceMemSet,setVal,8388608,261130,262121,247766,
CrossDeviceMemSet,setVal,16777216,306635,308274,298224,
CrossDeviceMemSet,setVal,33554432,336975,337823,331917,
CrossDeviceMemSet,setVal,67108864,354380,354981,352561,
CrossDeviceMemSet,setVal,134217728,364348,364492,362875,
CrossDeviceMemSet,setVal,268435456,369913,369530,368481,
CrossDeviceMemSet,setVal,536870912,372042,372464,355834,
CrossDeviceMemSet,setVal,1073741824,373400,374026,365481,
CrossDeviceMemSet,setVal,2147483648,374080,375242,370810,
CrossDeviceMemSet,setVal,4294967296,374390,375425,369689,
