Group,Experiment,Problem Space,*TP(s^-1) Mean,tAll(ms) Mean,tAll(ms) Min,tAll(ms) Max,tPer(us) Mean,LaunchCnt Mean,
mulCards,nullkernel,1,252820,0.0837648,0.049856,0.1128,4.18824,20,
mulCards,nullkernel,2,270590,0.0779004,0.049632,0.105248,3.89502,20,
mulCards,nullkernel,3,226538,0.0898341,0.045376,0.121824,4.49171,20,
mulCards,nullkernel,4,228012,0.0897636,0.05232,0.12368,4.48818,20,
mulCards,nullkernel,5,218233,0.093649,0.049952,0.133664,4.68245,20,
mulCards,nullkernel,6,194487,0.10493,0.061408,0.135648,5.2465,20,
mulCards,nullkernel,7,178280,0.114073,0.068928,0.151552,5.70364,20,
mulCards,nullkernel,8,182414,0.112047,0.067136,0.147936,5.60236,20,
mulCards,nullAndRecord,1,91594.5,0.219641,0.17696,0.249216,10.982,20,
mulCards,nullAndRecord,2,89678.2,0.224935,0.171616,0.268096,11.2468,20,
mulCards,nullAndRecord,3,84798.7,0.237147,0.169568,0.262848,11.8573,20,
mulCards,nullAndRecord,4,88440.7,0.228473,0.16736,0.281536,11.4237,20,
mulCards,nullAndRecord,5,87394.1,0.23132,0.1456,0.309888,11.566,20,
mulCards,nullAndRecord,6,90352.1,0.225244,0.140992,0.310144,11.2622,20,
mulCards,nullAndRecord,7,90767.3,0.223453,0.138592,0.281696,11.1727,20,
mulCards,nullAndRecord,8,90124.3,0.224405,0.141216,0.296,11.2203,20,
