Group,Experiment,Problem Space,*ratio Mean,gr(MB/s) Mean,gr(ms) Mean,no(MB/s) Mean,no(ms) Mean,str(M/s) Mean,str(us) Mean,
testGraph,naiveGraph,16,2.69361,0.983936,65.2262,0.575775,183.671,0.00193743,3977,
testGraph,naiveGraph,64,1.47489,3.74518,68.4072,2.53961,100.809,0.00192809,2119.6,
testGraph,naiveGraph,256,1.50183,14.2746,71.9064,9.50891,108.006,0.00196357,2037.8,
testGraph,naiveGraph,1024,1.4498,54.4403,75.2394,37.5787,109.08,0.00266114,1588.8,
testGraph,naiveGraph,4096,1.44408,212.872,77.0112,147.395,111.17,0.00320216,1250,
testGraph,naiveGraph,16384,1.17747,726.021,90.2752,616.77,106.293,0.00241906,2109.4,
testGraph,naiveGraph,65536,1.12396,1733.23,152.404,1547.26,170.978,0.00173196,2427.2,
testGraph,typicalGraph,16,1.07608,0.537389,118.6,0.499028,127.6,0.00422503,1986,
testGraph,typicalGraph,64,1.07565,2.09547,121.8,1.94869,131,0.00345701,2347.2,
testGraph,typicalGraph,256,1.10257,8.53605,119.6,7.74203,131.8,0.00411062,2007.6,
testGraph,typicalGraph,1024,1.12421,33.7664,120.6,30.1513,135.6,0.00523434,1596.4,
testGraph,typicalGraph,4096,1.10317,129.583,126,117.437,139,0.00380789,2113,
testGraph,typicalGraph,16384,1.03116,459.423,142.2,445.315,146.6,0.00604103,1391,
testGraph,typicalGraph,65536,1.07222,1294.69,204,1213.33,219,0.00550784,1591.4,
testGraph,complexGraph,16,1.2179,0.167851,384.8,0.138159,464.6,0.0053058,6066.6,
testGraph,complexGraph,64,1.33258,0.78258,327,0.588199,435.4,0.00787703,3911,
testGraph,complexGraph,256,1.34055,3.11762,327.8,2.32905,439.4,0.0077724,3992,
testGraph,complexGraph,1024,1.31706,12.4962,327.4,9.48205,431.2,0.00859341,3508.2,
testGraph,complexGraph,4096,1.33679,47.1119,347.6,35.3353,465,0.00781935,3952.2,
testGraph,complexGraph,16384,1.08847,129.796,530.4,118.924,557.6,0.00744001,4647,
testGraph,complexGraph,65536,1.05865,378.02,692.8,357.219,733.4,0.00947848,3427.6,
testGraph,pureDeviceGraph,16,0.687213,0.279279,229.6,0.406486,157.2,0.00696219,4530,
testGraph,pureDeviceGraph,64,0.708351,1.14731,222.8,1.61776,157.8,0.00740493,4056.2,
testGraph,pureDeviceGraph,256,0.715765,4.63387,220.2,6.49433,157.6,0.00727709,4129.8,
testGraph,pureDeviceGraph,1024,0.711603,18.4284,221.8,25.8544,157.8,0.00716834,4226.6,
testGraph,pureDeviceGraph,4096,0.735346,73.3834,222.8,99.6893,163.8,0.00670456,4633,
testGraph,pureDeviceGraph,16384,0.7088,270.038,242.2,381.023,171.6,0.00541225,5628,
testGraph,pureDeviceGraph,65536,0.774783,917.11,286.4,1202.73,222.4,0.00528855,6063.4,
