Group,Experiment,Problem Space,err Mean,*D2AH Mean,*AH2D Mean,
musaCopy,copyRateAligned,4,0,0.0798467,0.0930152,
musaCopy,copyRateAligned,8,0,0.161694,0.281117,
musaCopy,copyRateAligned,16,0,0.327432,0.61509,
musaCopy,copyRateAligned,32,0,0.666828,1.20597,
musaCopy,copyRateAligned,64,0,1.33711,2.39403,
musaCopy,copyRateAligned,128,0,2.70062,4.91661,
musaCopy,copyRateAligned,256,0,5.41307,9.91022,
musaCopy,copyRateAligned,512,0,11.1355,20.03,
musaCopy,copyRateAligned,1024,0,21.9296,39.9699,
musaCopy,copyRateAligned,2048,0,44.2827,78.3743,
musaCopy,copyRateAligned,4096,0,84.5385,153.124,
musaCopy,copyRateAligned,8192,0,168,281.442,
musaCopy,copyRateAligned,16384,0,343.127,542.703,
musaCopy,copyRateAligned,32768,0,808.991,674.827,
musaCopy,copyRateAligned,65536,0,1418.5,1569.26,
musaCopy,copyRateAligned,131072,0,2537.21,2205.85,
musaCopy,copyRateAligned,262144,0,4101.71,3164.5,
musaCopy,copyRateAligned,524288,0,5911.84,1821.23,
musaCopy,copyRateAligned,1048576,0,5520.52,4592.54,
musaCopy,copyRateAligned,2097152,0,14356.2,6601.98,
musaCopy,copyRateAligned,4194304,0,11880.3,10902.4,
musaCopy,copyRateAligned,8388608,0,17116.9,12963.7,
musaCopy,copyRateAligned,16777216,0,21653.4,13845.5,
musaCopy,copyRateAligned,33554432,0,24731.2,12562.1,
musaCopy,copyRateAligned,67108864,0,26094.5,10396.9,
musaCopy,copyRateAligned,134217728,0,26100.6,8432.17,
musaCopy,copyRateAligned,268435456,0,27616.8,7133.69,
musaCopy,copyRateAligned,536870912,0,27196.2,10343.7,
musaCopy,copyRateAligned,1073741824,0,27679.4,12680.2,
musaCopy,copyRateAligned,2147483648,0,27989.6,15398.3,
musaCopy,copyRateAligned,4294967296,0,28075.3,15512.9,
