Group,Experiment,Problem Space,*D2D Mean,*D2H Mean,err Mean,*H2D Mean,
musaCopy,copyRateUnAligned,4,0.24776,0.0807389,0,0.062226,
musaCopy,copyRateUnAligned,8,0.558779,0.156798,0,0.20896,
musaCopy,copyRateUnAligned,16,0.8989,0.302676,0,0.501825,
musaCopy,copyRateUnAligned,32,2.11256,0.693077,0,1.03321,
musaCopy,copyRateUnAligned,64,4.86766,1.49533,0,1.9314,
musaCopy,copyRateUnAligned,128,8.94372,2.70146,0,4.27034,
musaCopy,copyRateUnAligned,256,19.413,5.92112,0,7.87902,
musaCopy,copyRateUnAligned,512,36.4081,9.98694,0,12.4106,
musaCopy,copyRateUnAligned,1024,75.472,20.4021,0,23.073,
musaCopy,copyRateUnAligned,2048,154.058,41.2088,0,61.7628,
musaCopy,copyRateUnAligned,4096,293.908,81.228,0,117.521,
musaCopy,copyRateUnAligned,8192,624.6,161.186,0,223.97,
musaCopy,copyRateUnAligned,16384,1292.79,342.911,0,448.065,
musaCopy,copyRateUnAligned,32768,2360.85,806.845,0,622.397,
musaCopy,copyRateUnAligned,65536,5036.37,1454.92,0,1478.33,
musaCopy,copyRateUnAligned,131072,10516.4,2675.82,0,2189.15,
musaCopy,copyRateUnAligned,262144,18608.2,4006.73,0,3143.13,
musaCopy,copyRateUnAligned,524288,34804.1,5307.75,0,2172.9,
musaCopy,copyRateUnAligned,1048576,54414.1,5002.54,0,4041.89,
musaCopy,copyRateUnAligned,2097152,65638.1,13288.6,0,6428.05,
musaCopy,copyRateUnAligned,4194304,38323.8,17501,0,9530.76,
musaCopy,copyRateUnAligned,8388608,71478,20764.6,0,12330.6,
musaCopy,copyRateUnAligned,16777216,131274,22760.3,0,11895.1,
musaCopy,copyRateUnAligned,33554432,272760,24189.4,0,7920.51,
musaCopy,copyRateUnAligned,67108864,514276,27908.2,0,11190.8,
musaCopy,copyRateUnAligned,134217728,542725,27628.1,0,11648.7,
musaCopy,copyRateUnAligned,268435456,636176,28052.4,0,8676.06,
musaCopy,copyRateUnAligned,536870912,540194,28174.5,0,12240.2,
musaCopy,copyRateUnAligned,1073741824,613693,28145.8,0,14576.3,
musaCopy,copyRateUnAligned,2147483648,594992,28208.6,0,16179.7,
musaCopy,copyRateUnAligned,4294967296,569564,28215.4,0,17969.5,
