Group,Experiment,Problem Space,*H2D Mean,*D2H Mean,*D2D Mean,
musaCopy,copyRate2D,64,1.23231,1.66953,3.51624,
musaCopy,copyRate2D,128,3.54167,3.27481,9.93577,
musaCopy,copyRate2D,256,7.77925,7.32818,20.7647,
musaCopy,copyRate2D,512,14.5419,15.1985,42.1218,
musaCopy,copyRate2D,1024,31.8406,28.2542,85.9516,
musaCopy,copyRate2D,2048,67.6713,59.3694,170.918,
musaCopy,copyRate2D,4096,127.798,122.418,311.014,
musaCopy,copyRate2D,8192,253.4,232.018,682.979,
musaCopy,copyRate2D,16384,519.499,483.843,1200.37,
musaCopy,copyRate2D,32768,985.917,916.295,2779.22,
musaCopy,copyRate2D,65536,1816.92,1781.57,5600.26,
musaCopy,copyRate2D,131072,3379.35,3267.3,11282.6,
musaCopy,copyRate2D,262144,5885.33,5457.92,21673.8,
musaCopy,copyRate2D,524288,7152,8967,40957.9,
musaCopy,copyRate2D,1048576,10659.8,13831,73263.8,
musaCopy,copyRate2D,2097152,7628.38,15764.1,29352.9,
musaCopy,copyRate2D,4194304,9039.48,16123.1,50249,
musaCopy,copyRate2D,8388608,11590.7,12477.2,93539.7,
musaCopy,copyRate2D,16777216,11302,10718.5,169818,
musaCopy,copyRate2D,33554432,10151.7,11965,297960,
musaCopy,copyRate2D,67108864,7591.18,8658.19,448178,
musaCopy,copyRate2D,134217728,9681.23,9815.84,502798,
musaCopy,copyRate2D,268435456,10217.4,12912.9,533666,
musaCopy,copyRate2D,536870912,13842.1,16922.5,627418,
musaCopy,copyRate2D,1073741824,16115.7,19401.9,594872,
musaCopy,copyRate2D,2147483648,14693.7,20410.3,492279,
musaCopy,copyRate2D,4294967296,17634.5,22902.6,593351,
