Group,Experiment,Problem Space,*T2S Mean,*S2T Mean,*T2T Mean,*T2H Mean,*H2T Mean,
musaCopy,3DArray,64,2.54199,2.55315,5.2362,1.325,1.36131,
musaCopy,3DArray,128,5.51486,5.59126,10.1141,2.6159,2.73709,
musaCopy,3DArray,256,10.9644,10.6558,21.8881,5.41213,5.35331,
musaCopy,3DArray,512,22.6346,22.2827,44.3581,10.7731,11.2468,
musaCopy,3DArray,1024,45.737,47.0752,83.1487,22.2101,22.4695,
musaCopy,3DArray,2048,84.9007,88.2506,166.419,39.2293,41.6506,
musaCopy,3DArray,4096,163.758,164.669,321.038,79.5103,84.4429,
musaCopy,3DArray,8192,312.93,333.996,615.368,159.525,165.238,
musaCopy,3DArray,16384,640.188,609.508,1209.89,308.874,345.329,
musaCopy,3DArray,32768,1216.28,1233.12,2236.13,600.76,664.819,
musaCopy,3DArray,65536,2311.78,2357.91,4306.05,1214.92,1231.8,
musaCopy,3DArray,131072,4791.8,4781.57,8493.63,2281.64,2486.81,
musaCopy,3DArray,262144,9383.57,9540.44,16594.8,4225.11,4532.64,
musaCopy,3DArray,524288,18653.5,17702.2,32612.2,6970.4,7636.42,
musaCopy,3DArray,1048576,32524,33424.1,61545,10667.4,11592.2,
