Group,Experiment,Problem Space,*H2D Mean,*D2H Mean,
musaCopy,copyPinnedRate,4,0.112119,0.154459,
musaCopy,copyPinnedRate,8,0.291119,0.306382,
musaCopy,copyPinnedRate,16,0.614229,0.626757,
musaCopy,copyPinnedRate,32,1.23753,1.03206,
musaCopy,copyPinnedRate,64,1.99183,2.3291,
musaCopy,copyPinnedRate,128,4.94686,4.45886,
musaCopy,copyPinnedRate,256,9.81401,10.4363,
musaCopy,copyPinnedRate,512,19.7669,14.1992,
musaCopy,copyPinnedRate,1024,37.662,40.7244,
musaCopy,copyPinnedRate,2048,79.2751,82.1129,
musaCopy,copyPinnedRate,4096,162.278,103.171,
musaCopy,copyPinnedRate,8192,326.505,264.938,
musaCopy,copyPinnedRate,16384,619.155,596.95,
musaCopy,copyPinnedRate,32768,838.465,1130.69,
musaCopy,copyPinnedRate,65536,2472.57,2259.86,
musaCopy,copyPinnedRate,131072,4552.98,3706.99,
musaCopy,copyPinnedRate,262144,7325.1,7287.66,
musaCopy,copyPinnedRate,524288,10738.7,11670.6,
musaCopy,copyPinnedRate,1048576,16005.9,16276.5,
musaCopy,copyPinnedRate,2097152,20759.8,19963,
musaCopy,copyPinnedRate,4194304,23972.6,23217,
musaCopy,copyPinnedRate,8388608,25662.4,24323.4,
musaCopy,copyPinnedRate,16777216,26479.5,24982.6,
musaCopy,copyPinnedRate,33554432,25168.5,25234.5,
musaCopy,copyPinnedRate,67108864,26502.2,27388,
musaCopy,copyPinnedRate,134217728,26731.7,28455.1,
musaCopy,copyPinnedRate,268435456,26941.9,28494.8,
musaCopy,copyPinnedRate,536870912,27139.2,28508.5,
musaCopy,copyPinnedRate,1073741824,27244.2,26344.7,
musaCopy,copyPinnedRate,2147483648,27143.8,28524.8,
musaCopy,copyPinnedRate,4294967296,27177.2,28528.2,
