Group,Experiment,Problem Space,*D2H Mean,*H2D Mean,
musaCopy,copyRegisterRate,4,0.14235,0.0939187,
musaCopy,copyRegisterRate,8,0.279248,0.248544,
musaCopy,copyRegisterRate,16,0.611786,0.546524,
musaCopy,copyRegisterRate,32,1.21406,1.18221,
musaCopy,copyRegisterRate,64,2.49439,2.4806,
musaCopy,copyRegisterRate,128,4.25443,4.67446,
musaCopy,copyRegisterRate,256,9.7654,9.34515,
musaCopy,copyRegisterRate,512,18.7775,16.803,
musaCopy,copyRegisterRate,1024,40.0438,38.8039,
musaCopy,copyRegisterRate,2048,80.7564,76.4538,
musaCopy,copyRegisterRate,4096,161.4,152.321,
musaCopy,copyRegisterRate,8192,310.162,299.275,
musaCopy,copyRegisterRate,16384,634.459,596.884,
musaCopy,copyRegisterRate,32768,1226.07,854.542,
musaCopy,copyRegisterRate,65536,1791.35,2217.88,
musaCopy,copyRegisterRate,131072,2843.13,3985.35,
musaCopy,copyRegisterRate,262144,6224.69,6133.25,
musaCopy,copyRegisterRate,524288,9046.24,8639.58,
musaCopy,copyRegisterRate,1048576,11022.1,13934.7,
musaCopy,copyRegisterRate,2097152,14135.3,17861.5,
musaCopy,copyRegisterRate,4194304,18042.2,20485.3,
musaCopy,copyRegisterRate,8388608,21216.7,21830.1,
musaCopy,copyRegisterRate,16777216,24090.1,24883.5,
musaCopy,copyRegisterRate,33554432,24610.8,25174.2,
musaCopy,copyRegisterRate,67108864,27171,25066.7,
musaCopy,copyRegisterRate,134217728,27356.9,25594.8,
musaCopy,copyRegisterRate,268435456,27038.3,25994.3,
musaCopy,copyRegisterRate,536870912,28497.1,25739.8,
musaCopy,copyRegisterRate,1073741824,28516.9,26827.8,
musaCopy,copyRegisterRate,2147483648,28525.5,27028.2,
