Group,Experiment,Problem Space,*BW(MB/s) Mean,*BR(MB/s) Mean,
hostRW,malloc,1,26.7077,25.2005,
hostRW,malloc,8,370.757,343.497,
hostRW,malloc,64,3477.12,2898.03,
hostRW,malloc,512,26399.4,21807.4,
hostRW,malloc,4096,187440,47610.3,
hostRW,malloc,32768,1.61389e+06,53710.2,
hostRW,malloc,262144,1.09624e+07,2401.73,
hostRW,malloc,2097152,8.67711e+07,1440.9,
hostRW,malloc,16777216,7.08189e+08,1441.6,
hostRW,malloc,134217728,5.44327e+09,1528.65,
hostRW,malloc,1073741824,4.97103e+10,1529.39,
hostRW,hipHostMalloc,1,33.6779,20.6899,
hostRW,hipHostMalloc,8,453.159,199.383,
hostRW,hipHostMalloc,64,2997.12,2092.15,
hostRW,hipHostMalloc,512,29559.9,8479.67,
hostRW,hipHostMalloc,4096,205804,32909.6,
hostRW,hipHostMalloc,32768,1.63373e+06,36193.8,
hostRW,hipHostMalloc,262144,1.33499e+07,35851.4,
hostRW,hipHostMalloc,2097152,9.97581e+07,6593.69,
hostRW,hipHostMalloc,16777216,1.00746e+09,12461.7,
hostRW,hipHostMalloc,134217728,7.12514e+09,4803.8,
hostRW,hipHostMalloc,1073741824,4.6619e+10,4912.5,
hostRW,hipMallocManaged,1,40.9002,29.2194,
hostRW,hipMallocManaged,8,471.678,262.17,
hostRW,hipMallocManaged,64,3113.49,2095.24,
hostRW,hipMallocManaged,512,23780.5,8284.23,
hostRW,hipMallocManaged,4096,213054,34316.9,
hostRW,hipMallocManaged,32768,1.56255e+06,36727.3,
hostRW,hipMallocManaged,262144,1.16723e+07,43789.1,
hostRW,hipMallocManaged,2097152,1.1035e+08,8067.12,
hostRW,hipMallocManaged,16777216,9.33991e+08,11668.8,
hostRW,hipMallocManaged,134217728,5.48144e+09,4712.43,
hostRW,hipMallocManaged,1073741824,1.75425e+10,3245.43,
hostRW,hipHostRegister,1,46.0184,37.4858,
hostRW,hipHostRegister,8,461.874,342.921,
hostRW,hipHostRegister,64,594.339,523.96,
hostRW,hipHostRegister,512,4683.79,3641.94,
hostRW,hipHostRegister,4096,69301,12911.8,
hostRW,hipHostRegister,32768,733694,21725.4,
hostRW,hipHostRegister,262144,5.71886e+06,29843.5,
hostRW,hipHostRegister,2097152,5.58862e+07,13758.4,
hostRW,hipHostRegister,16777216,2.87676e+08,2817.76,
hostRW,hipHostRegister,134217728,1.09352e+09,2390.79,
hostRW,hipHostRegister,1073741824,8.58565e+09,2547.66,
