Group,Experiment,Problem Space,*RW(MB/s) Mean,*W(MB/s) Mean,*R(MB/s) Mean,
hostRW,hipMalloc,16,0.812333,0.524293,0.620037,
hostRW,hipMalloc,128,8.22405,3.73013,3.49463,
hostRW,hipMalloc,1024,63.466,30.6209,31.1834,
hostRW,hipMalloc,8192,605.055,270.26,252.919,
hostRW,hipMalloc,65536,3622.55,2307.83,2455.97,
hostRW,hipMalloc,524288,39363.1,18482,16750.5,
hostRW,hipMalloc,4194304,134320,70179.8,76791.6,
hostRW,hipMalloc,33554432,584696,218720,376358,
hostRW,hipMalloc,268435456,735250,655685,466189,
hostRW,hipMalloc,2147483648,746621,784952,649461,
hostRW,hipHostMalloc,16,1.0783,0.646918,0.591859,
hostRW,hipHostMalloc,128,9.37215,5.26777,4.93975,
hostRW,hipHostMalloc,1024,71.2572,42.0819,38.5204,
hostRW,hipHostMalloc,8192,615.357,339.401,311.836,
hostRW,hipHostMalloc,65536,4350.28,2470.63,2206.53,
hostRW,hipHostMalloc,524288,17123,8689.93,9306.03,
hostRW,hipHostMalloc,4194304,32519.2,19335.7,19735.6,
hostRW,hipHostMalloc,33554432,43023.7,26734,25486.4,
hostRW,hipHostMalloc,268435456,50775.2,28364.6,26586.7,
hostRW,hipHostMalloc,2147483648,43836.5,28457.6,19982,
hostRW,hipMallocManaged,16,1.17174,0.689727,0.552079,
hostRW,hipMallocManaged,128,9.26245,4.02528,4.67441,
hostRW,hipMallocManaged,1024,76.3123,37.5532,36.7279,
hostRW,hipMallocManaged,8192,493.279,290.045,255.757,
hostRW,hipMallocManaged,65536,4450.8,2471.46,2184.41,
hostRW,hipMallocManaged,524288,16943.6,11523.9,7552.18,
hostRW,hipMallocManaged,4194304,25986.9,23478.9,15612.3,
hostRW,hipMallocManaged,33554432,29802.2,27500.2,16978,
hostRW,hipMallocManaged,268435456,30546.1,28338.3,14514.4,
hostRW,hipMallocManaged,2147483648,30674.4,28413.7,15539.2,
hostRW,hipHostRegister,16,1.13952,0.591176,0.583231,
hostRW,hipHostRegister,128,9.99359,5.23561,4.56359,
hostRW,hipHostRegister,1024,75.1662,42.5248,38.2941,
hostRW,hipHostRegister,8192,632.862,343.911,312.063,
hostRW,hipHostRegister,65536,4383.79,2469.34,2238.28,
hostRW,hipHostRegister,524288,15493.5,10796.1,7065.59,
hostRW,hipHostRegister,4194304,24654.1,20023.8,9878.33,
hostRW,hipHostRegister,33554432,26667.5,23363.6,15783.8,
hostRW,hipHostRegister,268435456,27189.1,22862.9,14407,
hostRW,hipHostRegister,2147483648,27058.8,22602.3,14145.8,
