Group,Experiment,Problem Space,tunreg Mean,*Bunreg Mean,treg Mean,*Breg Mean,
hostReg,muHostReg,1,0.00274933,0.36794,0.500048,0.0332932,
hostReg,muHostReg,2,0.00242667,0.824663,0.018913,0.105753,
hostReg,muHostReg,4,0.00242067,1.65307,0.0185847,0.215232,
hostReg,muHostReg,8,0.00249,3.21409,0.511891,0.289084,
hostReg,muHostReg,16,0.00241533,6.62706,0.018857,0.848546,
hostReg,muHostReg,32,0.002448,13.0828,0.0189113,1.69231,
hostReg,muHostReg,64,0.00243633,26.2722,0.018648,3.43202,
hostReg,muHostReg,128,0.002375,53.8972,0.018506,6.91671,
hostReg,muHostReg,256,0.002396,106.847,0.0187713,13.6381,
hostReg,muHostReg,512,0.00247667,206.805,0.507514,18.3228,
hostReg,muHostReg,1024,0.00244133,420.174,0.50562,35.3417,
hostReg,muHostReg,2048,0.002515,815.45,0.0199197,102.829,
hostReg,muHostReg,4096,0.00238767,1715.72,0.0189727,215.969,
hostReg,muHostReg,8192,0.00246,3332.04,0.0215567,386.108,
hostReg,muHostReg,16384,0.00526233,3130.85,0.0459733,361.811,
hostReg,muHostReg,32768,0.00134,24468.1,0.0116407,2823.05,
hostReg,muHostReg,65536,0.00137933,47555.5,0.47896,3911.99,
hostReg,muHostReg,131072,0.00134433,97524.8,0.0110967,11815.3,
hostReg,muHostReg,262144,0.00149,178177,0.480336,13918.1,
hostReg,muHostReg,524288,0.00232933,245212,1.48525,353.454,
hostReg,muHostReg,1048576,0.001647,637232,1.5065,696.081,
hostReg,muHostReg,2097152,0.00210767,1.04365e+06,1.6537,1268.55,
hostReg,muHostReg,4194304,0.00690133,872277,2.31439,1849.03,
hostReg,muHostReg,8388608,0.002111,4.18379e+06,2.83959,3063.16,
hostReg,muHostReg,16777216,0.003327,5.36465e+06,3.50523,4786.4,
hostReg,muHostReg,33554432,0.00410633,8.73112e+06,6.82582,4964.02,
hostReg,muHostReg,67108864,0.014131,4.85741e+06,86.5261,806.541,
hostReg,muHostReg,134217728,0.0246703,5.55244e+06,226.22,604.15,
hostReg,muHostReg,268435456,0.0261223,1.07211e+07,783.54,363.933,
hostReg,muHostReg,536870912,0.0325667,1.66973e+07,1675.18,360.928,
hostReg,muHostReg,1073741824,0.0370717,3.00628e+07,2540.08,425.352,
hostReg,muHostReg,2147483648,0.0471003,4.61627e+07,6120.9,372.103,
hostReg,muHostReg,4294967296,0.0605723,7.28298e+07,10666.9,411.432,
