Group,Experiment,Problem Space,t(Open) Mean,*B(Open) Mean,t(Get) Mean,*B(Get) Mean,
ipc,ipcMemory,32,0.047553,1.13235,0.01597,2.10587,
ipc,ipcMemory,64,0.105879,0.656634,0.01725,4.0549,
ipc,ipcMemory,128,0.0809835,10.277,0.01459,9.86399,
ipc,ipcMemory,256,0.0341807,20.9009,0.01479,18.9169,
ipc,ipcMemory,512,0.0762335,13.6322,0.0201,24.293,
ipc,ipcMemory,1024,0.0389957,61.8931,0.01431,81.0624,
ipc,ipcMemory,2048,0.0341255,168.193,0.01345,197.755,
ipc,ipcMemory,4096,0.034883,338.12,0.01443,364.815,
ipc,ipcMemory,8192,0.0491005,316.277,0.01629,674.247,
ipc,ipcMemory,16384,0.0554427,964.464,0.01994,783.602,
ipc,ipcMemory,32768,0.0631758,1954.11,0.01735,2000.27,
ipc,ipcMemory,65536,0.037153,4005.5,0.01443,5115.97,
ipc,ipcMemory,131072,0.0456857,5136.86,0.01717,8301.29,
ipc,ipcMemory,262144,0.105112,2731.65,0.01639,20616,
ipc,ipcMemory,524288,0.0574882,19187.1,0.01433,41588.1,
ipc,ipcMemory,1048576,0.0459932,47462.3,0.01629,87029.6,
ipc,ipcMemory,2097152,0.074866,27656.1,0.02005,99751.9,
ipc,ipcMemory,4194304,0.0087,463480,0.01759,336370,
ipc,ipcMemory,8388608,0.0571133,599075,0.02145,420376,
ipc,ipcMemory,16777216,0.0813638,1.16925e+06,0.01799,1.03815e+06,
ipc,ipcMemory,33554432,0.0928238,1.31342e+06,0.02236,1.50808e+06,
ipc,ipcMemory,67108864,0.149162,645035,0.01802,4.14993e+06,
ipc,ipcMemory,134217728,0.15335,4.96922e+06,0.02475,5.17174e+06,
ipc,ipcMemory,268435456,0.134387,3.33133e+06,0.02154,1.3448e+07,
ipc,ipcMemory,536870912,0.251308,2.17971e+06,0.01111,4.6085e+07,
ipc,ipcMemory,1073741824,0.268809,4.05858e+06,0.01123,9.11869e+07,
